W,M
menace,"n. 협박, 위협"
hamper,"v. 방해하다"
smallpox,"n. 천연두, 마마"
slender,"a. 호리호리한, 날씬한, 빈약한"
coerce,"v. 강요하다, 강제하다"
haul,"v. 끌어당기다"
plausible,"a. (이유․논리 등이) 그럴듯한, 정말 같은"
demolish,"v. 파괴하다, 철거하다"
spawn,"v. (물고기, 개구리 따위가) 알을 낳다, (어떤 결과를) 낳다"
cornerstone,"n. 초석, 토대"
bewilder,"v. 당황하게 하다"
torment,"n. 고통, 고뇌; 고통을 주다"
forbear,"v. ~을 삼가다, 참다"
compulsory,"a. 강제적인, 의무적인"
chivalry,"n. 기사도 (정신)"
lurk,"v. 숨다, 잠복하다"
prairie,"n. 대초원"
drizzle,"n. 이슬비; 이슬비가 내리다"
chubby,"a. 통통한, 토실토실한"
handy,"a. 1. 편리한, 유용한 2. 능숙한 3. (손에 닿을 정도로) 가까이 있는"
bizarre,"a. 기괴한, 특이한"
ubiquitous,"a. 어디에나 존재하는"
stale,"a. 신선하지 않은, 퀴퀴한"
demanding,"a. 요구가 많은, (일이) 힘든"
queue,"n. 줄, 대기 행렬, 줄서서 기다리다"
viable,"a. 1. 실행 가능한 2. 생존 가능한"
slaughter,"v. 도살하다, 학살하다 ; 도살, 학살"
cater,"v. 음식을 공급하다"
ratify,"v. 승인하다, 비준하다"
span,"n. 1. 지속 기간 2. 거리, 폭, 범위"
perplex,"v. 당황하게 하다"
ailment,"n. 병, 질병"
dilute,"v. 묽게 하다, 희석시키다, 약화시키다"
cordial,"a. 진심에서 우러난, 우호적인"
vain,"a. 1. 헛된 2. 허영심이 많은"
vanity,"n. 1. 허영심, 자만심 2. 헛됨"
plague,"n. 전염병"
groan,"n. 신음, 신음하다"
devoid,"a. ~이 빠진, ~이 없는"
wail,"v. 울부짖다, 통곡"
fetch,"v. (가서) 가지고 오다, 데리고 오다"
stride,"n. 걸음, 성큼성큼 걷다"
rote,"n. (반복에 의한 기계적 ) 암기"
clatter,"n. 덜거덕(털커덕)하는 소리, 덜거덕 소리를 내다"
acoustic,"a. 1. 청각의, 음향의 2. (음악) 전자 장치를 쓰지 않은"
amphibian,"n. 1. 양서류 2. 수륙 양용의"
default,"n. (채무, 약속 등의) 불이행; 실행하지 않다"
wax,"n. 1. 왁스, 밀랍 2. (달이) 차오르다, 점차 커지다"
divine,"a. 신의, 신성한"
dispatch,"v. 급파하다, 발송하다, 빨리 해치우다"
deputy,"n. (최고 계급 다음 가는 직급인) 부-(부대표, 부사장..), 대리인"
limp,"a. 1. 기운 없는, 축 처진 2. 절뚝거리다"
delinquent,"a. 1. 비행의, 과실 있는 2. 채무 불이행의"
enchant,"v. 매혹하다"
hands-on,"a. 직접 해보는"
ecstasy,"n. 황홀, 무아지경"
optician,"n. 안경사, 안경점"
discourse,"n. 강연, 담화"
bail,"n. 보석(금), 보석으로 풀어주다"
momentum,"n. 추진력, 가속도"
harassment,"n. 괴롭힘, (성적) 추행"
exempt,"a. 면제되는; 면제하다"
eligible,"a. 적격의, 자격이 있는"
mortgage,"n. 저당, 담보 대출"
turmoil,"n. 소란, 소동"
lethal,"a. 죽음을 초래할, 치명적인"
quarantine,"n. (전염병 때문에) 격리; 격리하다"
vibrant,"a. 1. (소리, 음성이) 떨리는 2. 활기찬, 힘찬"
eradicate,"v. 뿌리 뽑다, 근절하다"
extrovert,"n. 외향적인 사람"
dismantle,"v. 해체하다, 철거하다"
metaphor,"n. 은유, 비유"
clutch,"v. 붙들다, 꽉 잡다"
loom,"v. ~처럼 보이다, 어렴풋이 나타나다"
lament,"v. 슬퍼하다; 슬픔"
myriad,"n. 무수히 많음, 무수한"
wag,"v. (꼬리 등을) 흔들다"
sabotage,"n. (공장설비 따위의) 파괴, 방해, 파괴하다, 방해하다"
liability,"n. 1. 책임 2. 골칫거리"
pending,"a. 1. 미결의, 계류 중인 2. 임박한, 곧 있을 3. (어떤 일이) 있을 때까지"
hygiene,"n. 위생"
threshold,"n. 문지방, 문턱, 한계점"
freight,"n. 화물, 화물운송"
brew,"v. (차를) 끓이다, (맥주 등을) 양조하다"
rhetoric,"n. 미사여구, 수사학"
maxim,"n. 격언, 금언"
formidable,"a. 무시무시한, 엄청난"
blunt,"a. 1. 무딘, 뭉툭한, 무디게 하다 2. 퉁명스러운, 직설적인"
falter,"v. (마음, 안정성, 말 등이) 흔들리다"
swap,"v. (서로) 교환하다, 교대로 하다"
sinister,"a. 불길한, 사악한"
entity,"n. 실체, 존재, 독립체"
stack,"n. 더미, 많음, 쌓다, 쌓이다"
archive,"n. 기록 보관소, (기록, 데이터 등의) 보관"
naive,"a. 순진한"
municipal,"a. 시의, 지방자치의"
humiliate,"v. 창피를 주다"
ludicrous,"a. 바보 같은, 터무니없는"
manifest,"a. 분명한, 드러내다, 나타나다"
nautical,"a. 선박의, 해상의, 항해의"
heyday,"n. 전성기"
streamline,"v. 간소화하다, 능률화하다"
cardinal,"a. 기본적인, 중요한"
laden,"a. (~을) 잔뜩 실은, (~이) 가득한"
aftermath,"n. (전쟁, 사고 등의) 여파, 영향"
pound,"v. 1. 사정없이 치다 2. (화폐, 중량) 파운드"
revolve,"v. (~의 주위를) 돌다, 회전하다"
nuisance,"n. 성가신 사람[것], 골칫거리"
eccentric,"a. 별난, 괴상한"
feasible,"a. 실현 가능한"
acute,"a. 1. (감각, 이해력이) 예리한 2. 극심한"
gadget,"n. 기계장치, 도구"
alleviate,"v. 완화시키다"
obese,"a. 뚱뚱한, 비만인"
aggravate,"v. 악화시키다"
aggregate,"n. 합계; 총-, 종합하다"
alias,"ad. 일명 ~라 불리는, 가명"
flare,"n. 불길, 불꽃, 확 타오르다"
feat,"n. 1. 업적 2. 재주, 묘기"
elusive,"a. 1. 파악하기 힘든, 찾기 힘든 2. 달아나기 쉬운"
mock,"v. 흉내 내며 놀리다, 조롱하다,"
discrepancy,"n. 불일치, 차이"
gale,"n. 강풍, 돌풍"
comb,"n. 1. 빗 ; 빗질하다 2. 샅샅이 찾다[뒤지다]"
stew,"v. (음식을) 끓이다, 끓인 요리"
poultry,"n. (닭, 오리 등의) 가금(家禽)류"
procure,"v. 얻다, 획득하다"
membrane,"n. (세포, 조직 등의) 막, 얇은 막"
glimpse,"v. 흘끗 보다; 흘끗 봄"
massacre,"n. 대량 학살, 학살하다"
volatile,"a. 1. 변덕스러운, 불안정한 2. 휘발성의"
ballot,"n. 무기명 투표"
foe,"n. 적, 원수"
dim,"a. 어둑한, 흐릿한"
thesis,"n. (학위) 논문, 논지"
taboo,"n. 터부, 금기"
bliss,"n. 더없는 행복"
artillery,"n. 대포, 포병대"
tilt,"n. 경사, 기울어짐, 기울다"
tint,"n. 색깔, 색조, (머리의) 염색; 염색하다"
onset,"n. 습격, (질병 등의) 시작"
florist,"n. 꽃집 주인"
hurl,"v. 1. 세게 던지다 2. (모욕, 비난 등을) 퍼붓다"
pneumonia,"n. 폐렴"
blacksmith,"n. 대장장이"
gulf,"n. 만"
gill,"n. 아가미"
quota,"n. 할당량, (허용되는) 한도"
saddle,"n. (말․자전거 등의) 안장, 안장을 얹다"
dough,"n. 밀가루 반죽"
cradle,"n. 요람, 발상지"
capricious,"a. 변덕스러운"
diabetes,"n. 당뇨병"
specification,"n. (자세한) 설명서"
mutable,"a. 변하기 쉬운, 변덕스러운"
offset,"v. 상쇄하다, 보충하다"
debris,"n. 잔해, 부스러기"
diaper,"n. 기저귀"
detergent,"n. 세제"
wholesome,"a. 건강에 좋은, 유익한"
rapture,"n. 황홀, 황홀감"
vine,"n. 포도 덩굴, 덩굴 식물"
lure,"v. 유혹하다; 유혹, 미끼"
coffin,"n. 관"
portal,"n. 대문, 입구"
pimple,"n. 여드름, 뾰루지"
vex,"v. 괴롭히다, 화나게 하다"
benign,"a. (기후, 성격 등이) 온화한, 상냥한"
reckon,"v. (~라고) 생각하다, 예상하다"
brag,"n. 자랑, 자랑하다"
lofty,"a. 매우 높은, 숭고한"
installment,"n. 할부, 할부금"
Confucius,"n. 공자"
inaugurate,"v. 취임시키다, 개시하다"
patron,"n. 후원자, 고객"
freak,"n. 1. 별난 사람(것), 괴짜, 별난, 기이한, 2. 기겁하다"
airborne,"a. 하늘에 떠있는, 공중에 떠있는"
hilarious,"a. 재미있는, 즐거운"
fallout,"n. (핵폭발물의) 낙진, (좋지 못한) 결과, 여파"
flop,"v. 1.쿵 떨어지다, 털썩 주저앉다 2. 완전 실패하다"
