W,M
shudder,"v. 떨다, 몸서리치다"
burrow,"n. 굴, 굴(땅)을 파다"
spine,"n. 척추, 등뼈"
swamp,"n. 늪, 습지"
insolent,"a. 건방진, 버릇없는"
aristocrat,"n. 귀족"
rigorous,"a. 엄격한"
paddle,"n. 노; 노를 젓다"
fabric,"n. 1. 직물, 천 2. 구조, 조직"
blizzard,"n. 눈보라"
rub,"v. 비비다, 문지르다"
sector,"n. 분야, 부문"
lag,"v. 뒤처지다, 뒤처짐, 지연"
segregate,"v. 격리하다, 분리하다, 차별하다"
usher,"n. (극장ㆍ교회 등의) 안내인, 안내하다"
bound,"v. 1. 튀어 오르다 2. 경계를 두다, 한정하다 3. ~로 향하는, ~행의(for) 4. ~하게 되어 있다"
dismal,"a. 우울하게 하는, 음울한"
sumptuous,"a. 고가의, 호화로운"
salvage,"n. 구조, 구조하다"
salvation,"n. 구원, 구조"
euthanasia,"n. 안락사"
numb,"a. 마비된, 감각이 없는"
stab,"v. 찌르다"
rash,"a. 성급한, 경솔한"
banish,"v. 추방하다, 내쫓다"
crave,"v. 간청하다, 갈망하다"
verge,"n. 가장자리, 직전"
brink,"n. 가장자리, 직전"
on the verge of,"prep. (이제 막) ~되려고 하는, ~ 직전의"
on the brink of,"prep. (이제 막) ~되려고 하는, ~ 직전의"
hideous,"a. 무시무시한, 끔찍한"
weary,"a. 피곤한, 지친, 싫증난"
indubitable,"a. 의심할 여지없는, 확실한"
smother,"v. 숨막히게 하다, 질식시키다"
herald,"v. 알리다, 전령,"
abolish,"v. 없애다, 폐지하다"
drudgery,"n. 고된 일, 지겨운 일"
epic,"n. 서사시"
dunk,"v. 1. 덩크슛 하다 2. 담그다, 적시다"
vomit,"v. 구토하다"
hierarchy,"n. 계급제도, 계층"
ruthless,"a. 무자비한"
futile,"a. 효과 없는, 헛된"
intrude,"v. 침범하다, 방해하다"
tricky,"a. 까다로운"
rove,"v. 헤매다, 방랑하다"
sob,"v. 흐느껴 울다"
ponder,"v. 곰곰이 생각하다"
shoal,"n. (물고기) 떼, 무리, 다수, 다량"
contrive,"v. 1. 고안하다 2. 어떻게든 ~하다, 용케 ~하다"
cramped,"a. 비좁은, 갑갑한"
neuron,"n. 뉴런, 신경세포"
candid,"a. 솔직한"
forthwith,"ad. 당장, 곧"
flea,"n. 벼룩"
haze,"n. 연무, 안개"
hijack,"v. (비행기, 차량을) 납치하다"
larvae,"n. 애벌레"
rationale,"n. 이유, 근거"
chunk,"n. 덩어리"
divert,"v. (방향, 생각, 기분 등을) 바꾸게 하다"
betray,"v. 1. 배반하다 2. (정보, 감정 등을) 드러내다"
clumsy,"a. 어설픈, 서투른"
stroll,"v. 거닐다, 산책하다, 산책"
