W,M
emit,"v. (소리․빛․열 등을) 내다, 발산하다"
transmit,"v. 보내다, 전송하다"
dismiss,"v. 1. 해고하다 2. 해산시키다 3. 묵살하다, 일축하다"
submit,"v. 제출하다"
submit,"v. 항복하다, 굴복하다"
literacy,"n. 읽고 쓸 줄 아는 능력"
literal,"a. 글자 그대로의"
literary,"a. 문학의"
resent,"v. 분개하다"
sensitive,"a. 민감한, 섬세한"
sensation,"n. 1. 감각, 느낌 2. 센세이션, 대사건"
sentimental,"a. 감상적인"
dissent,"v. 반대하다, 불찬성"
sensible,"a. 분별 있는, 현명한, 느낄 수 있는"
consent,"n. 동의, 동의하다"
consensus,"n. 의견 일치, 합의"
sensory,"a. 감각의"
legitimate,"a. 합법적인, 정당한"
illegal,"a. 불법적인"
legislation,"n. 입법, 법률제정, 제정법"
geography,"n. 지리, 지리학"
biography,"n. 전기, 일대기"
autograph,"n. 자필서명, 사인, 사인하다"
autobiography,"n. 자서전"
telegraph,"n. 전보, 전보를 보내다."
paragraph,"n. (문장의) 절, 단락"
primitive,"a. 원시의"
primate,"n. 영장류"
principle,"n. 원리, 원칙, 주의"
principal,"a. 1. 주요한 2. 교장"
prime,"a. 주요한, 최고의"
press,"v. 1. 누르다, 압박하다 2. 인쇄(기), 신문"
oppress,"v. 억압하다, 탄압하다"
suppress,"v. 진압하다, 억누르다"
pressure,"n. 압력, 압박"
depress,"v. 1. 우울하게 만들다 2. (경기, 사업 등을) 부진하게 하다"
compress,"v. 압축하다"
export,"v. 수출하다; 수출"
import,"v. 수입하다; 수입"
porter,"n. 짐꾼, 운반기"
transport,"n. 운송, 운송하다"
portable,"a. 휴대할 수 있는, 휴대용의"
potable,"a. 마시기에 적합한"
temporary,"a. 일시적인, 임시의"
tempo,"n. 속도, 박자, 템포"
contemporary,"a. 1. 현대의 2. 동시대의"
temporal,"a. 시간의, 일시적인"
audience,"n. 청중, 관중"
auditorium,"n. 강당, 방청석"
audible,"a. 들을 수 있는, 잘 들리는"
inaudible,"a. 들을 수 없는, 들리지 않는"
auditory,"a. 청각의"
fragile,"a. 부서지기 쉬운, 깨지기 쉬운"
fracture,"n. 골절, 파손; 골절되다, 부서지다"
fragment,"n. 파편, 조각"
fraction,"n. 1. 일부분 2. (수학) 분수"
plenty,"n. 많음, 풍부함; 많은; 많이"
ample,"a. 충분한, 풍부한"
supplement,"n. 보충; 보충하다, 추가하다"
completion,"n. 완성, 완료"
deplete,"v. 고갈시키다, 감소시키다"
complement,"n. 1. 보완, 보충, 보완하다, 보충하다 2. 보어"
attract,"v. 마음을 끌다, 끌어당기다"
extract,"v. 추출하다; 추출, 발췌"
detract (from),"v. (가치, 명성 등을) 손상시키다"
distract,"v. (주의를) 딴 데로 돌리다, 산만하게 하다"
subtract,"v. 빼다"
abstract,"v. 추출하다, 뽑아내다"
abstract,"a. 추상적인"
verdict,"n. (배심의) 평결, 판단"
dictation,"n. 1. 말함, 받아쓰기 2. 명령, 지시"
dictator,"n. 독재자"
contradict,"v. 1. 반박하다, 부인하다 2. 모순되다"
predict,"v. 예언하다, 예측하다"
geometry,"n. 기하학"
barometer,"n. 1. 기압계 2. 지표, 바로미터"
speedometer,"n. 속도계"
thermometer,"n. 온도계"
