W,M
satellite,"n. 인공위성, 위성"
exhaust,"v. 다 써버리다, 기진맥진하게 만들다,"
detect,"v. 발견하다, 탐지하다"
statistics,"n. 통계, 통계학"
split,"v. 나뉘다, 쪼개다, 찢다"
Buddhist,"n. 불교도, 불교의"
snail,"n. 달팽이"
tomb,"n. 묘지"
eminent,"a. 저명한, 뛰어난"
consequence,"n. 1. 결과 2. 중요성"
vinegar,"n. 식초"
head,"n. 1. 머리 2. 이끌다, 향하다"
block,"n. 1. 사각형 덩어리, 2. (도로로 나뉘는) 블록 3. 방해물; 막다, 방해하다"
meadow,"n. 목초지, 초원"
cube,"n. 정육면체"
astonishing,"a. 깜짝 놀랄만한, 놀라운"
distinguish,"v. 구별하다, 두드러지게 하다"
distinction,"n. 구별, 차이, 뛰어남"
sideboard,"n. 찬장, 식기대"
drought,"n. 가뭄"
donation,"n. 기부, 기증"
sink,"v. 가라앉다, 침몰시키다"
fare,"n. (교통) 요금"
dominant,"a. 우세한, 지배적인"
glue,"n. 접착제"
jellyfish,"n. 해파리"
mammal,"n. 포유동물"
Philosopher,"n. 철학자"
Illusion,"n. 환영, 망상"
pharmacy,"n. 약국"
candidate,"n. 후보자, 지원자"
mature,"a. 성숙한; 성숙하다"
role,"n. 역할"
garage,"n. (자동차) 차고"
fatal,"a. 치명적인, 죽음을 초래하는"
absurd,"a. 어리석은, 터무니없는"
scratch,"v. 긁다, 긁힌 자국"
vapor,"n. 증기"
evaporate,"v. 증발시키다, 증발하다"
present,"n. 1. 선물 2. 현재의 3. 참석한 4. 제출하다, 발표하다, 주다"
maze,"n. 미로"
dumb,"a. 1. 언어 장애인의 2. 우둔한"
atom,"n. 원자"
trait,"n. 특성, 특징"
bay,"n. (작은) 만(바다가 육지 속으로 파고들어 와 있는 곳)"
urban,"a. 도시의"
sled,"n. 썰매"
annual,"a. 1년의, 해마다의"
narrate,"v. 이야기하다, 설명하다"
identity,"n. 1. 신원, 정체, 정체성 2. 일치, 동일함"
gossip,"n. 험담, 잡담, 잡담하다"
withdraw,"v. 1. 물러나다, 철수하다 2. (돈을) 인출하다"
escalate,"v. 오르다, 증가하다, 확대되다"
welfare,"n. 복지, 복지의"
throughout,"ad. 1. 도처에, 온통 2. ~동안 쭉, 내내"
inflation,"n. 1. 통화 팽창, 물가 폭등 2. 부풀림"
controversy,"n. 논쟁, 논의"
casual,"a. 1. 평상복의, 평상시의 2. 대충의, 신경 쓰지 않는"
purple,"a. 자주색의, 자주색"
condemn,"v. 1. 비난하다, (~에게 형을) 선고하다 2. 운명짓다"
endeavor,"n. 노력, 노력하다"
exigency,"n. 긴급사태, 위급함"
apply,"v. 적용하다, 적용되다"
apply,"v. 지원하다, 신청하다"
journey,"n. 여행, 여정, 여행하다"
pub,"n. 술집"
oyster,"n. 굴"
mass,"n. 1. 많은 양, 큰 덩어리, 대량의 2. 일반 대중"
firm,"n. 회사"
firm,"a. 1. 굳은, 단단한 2. 확실한, 확고한"
branch,"n. 나뭇가지, (회사나 프랜차이즈의) 지점"
avenge,"v. 복수하다"
hasty,"a. 서두르는, 성급한"
gaze,"v. 뚫어지게 보다, 응시하다"
assume,"v. 1. ~을 떠맡다 2. ~인 척하다"
assume,"v. 추정하다, 생각하다"
bruise,"n. 멍, 멍들게 하다"
formal,"a. 격식을 차린, 공식적인"
wind,"n. 1. 바람 2. 감다, 돌리다"
wind up ~ing,"v. 결국 ~하게 되다"
claw,"n. 발톱"
hesitation,"n. 망설임, 주저"
decade,"n. 10년"
breakdown,"n. 고장, 파손, 붕괴"
valid,"n. 유효한, 효과 있는, 타당한"
validate,"v. 1. 입증하다 2. 인정하다"
annoy,"v. 짜증나게 하다"
shelf,"n. 선반"
last,"a. 1. 마지막의 2. 지난 3. 지속되다, 계속되다"
latest,"a. 1. 최근의, 최신의"
