W,M
intuition,"n. 직관, 직감"
inhabit,"v. ~에 살다, 거주하다"
instinct,"n. 본능"
induce,"v. 권유하다, 유도하다"
insulate,"v. 1. (보호) 격리하다 2. 절연하다, 단열하다"
integrate,"v. 통합시키다, 통합되다"
integral,"a. (전체 구성을 위해) 필수적인"
inflict,"v. (괴로움, 상처 등을) 가하다, 괴롭히다"
incorporate,"v. 1. 통합하다 2. 포함하다"
intense,"a. 강렬한, 극심한, 열정적인"
interior,"a. 내부의, 안쪽의"
inflame,"v. 격분시키다, 악화시키다"
index,"n. 1. 찾아보기, 색인 2. 지표, 지수"
investigate,"v. 조사하다, 수사하다"
insane,"a. 제정신이 아닌, 미친"
inject,"v. 주사하다, 주입하다"
infest,"v. 들끓다, 우글거리다"
intrigue,"v. 1. (호기심, 흥미를) 끌다, 흥미 2. 음모를 꾸미다, 음모"
inevitable,"a. 피할 수 없는"
intricate,"a. 얽힌, 복잡한"
inventory,"n. 재고조사, 물품 목록"
intimidate,"v. 겁주다, 위협하다"
timid,"a. 겁 많은, 소심한"
inferior,"a. 열등한, ~보다 못한"
inherent,"a. 내재하는, 타고난"
indulge,"v. (환락․욕망 등에) 빠지다, 탐닉하다, 제멋대로 하게 하다"
interrogate,"v. 심문하다, 질문하다"
inordinate,"a. 과도한, 지나친"
intrinsic,"a. 고유의, 본질적인"
innate,"a. 타고난, 선천적인"
insure,"v. 보장하다, 보험에 들다"
infer,"v. 추론하다, 추정하다"
inborn,"a. 타고난, 선천적인"
numerous,"a. 수많은, 무수한"
innumerable,"a. 무수한, 헤아릴 수 없는"
inalienable,"a. 양도할 수 없는, 빼앗을 수 없는"
monologue,"n. 독백"
monopoly,"n. 독점"
monotonous,"a. 단조로운, 지루한"
monarchy,"n. 군주 정치"
exquisite,"a. 정교한, 섬세한, 아름다운"
expedition,"n. 탐험, 탐험대"
external,"a. 외부의, 밖의"
extinguish,"v. (불 ․빛 등을) 끄다"
extinct,"a. (생명ㆍ생물이) 멸종된"
exterior,"a. 외부의; 외부"
exploit,"v. 1. 개척하다, 개발하다 2. 착취하다, (부당하게) 이용하다"
exotic,"a. 이국적인"
ego,"n. 자아, 자존심"
embargo,"n. (수출, 수입) 금지, 통상금지"
embryo,"n. 태아, 배아, 싹"
empirical,"a. 경험에 의거한, 실증적인"
embody,"v. 1. 구체화하다, 구현하다 2. 포함하다"
embed,"v. 깊숙이 박다, 끼워 넣다"
encyclopedia,"n. 백과사전"
enhance,"v. (질․능력 등을) 높이다, 향상시키다"
entitle,"v. 1. 자격을 주다, 권리를 주다 2. 제목을 붙이다"
enact,"v. 행하다"
enact,"v. (법을) 제정하다"
recur,"v. 1. 재발하다 2. 되돌아가다 3. 반복되다"
resolve,"v. 1. 결심하다 2. 해결하다"
resolution,"n. 해상도"
resolution,"n. 1. 결심, 결의안 2. 해결"
resilient,"a. 탄력 있는, (부상 등에) 회복력 있는"
rebel,"n. 반역자; 반역의; 반역하다"
revolt,"v. 반란을 일으키다, 반란, 폭동"
retrieve,"v. 되찾다, 회복하다"
replica,"n. 복제품, 복제, 복사"
repent,"v. 후회하다, 뉘우치다"
reprove,"v. 꾸짖다"
revere,"v. 존경하다, 숭배하다"
resume,"v. 1. 다시 시작하다 2. 이력서"
recruit,"v. (신입사원 등을) 모집하다"
recite,"v. 암송하다, 낭독하다"
resourceful,"a. 지략이 뛰어난"
refine,"v. 정제하다, 개선하다"
recount,"v. 1. 다시 세다, 재검표하다 2. 이야기하다, 말하다"
refreshments,"n. 다과, 음식물"
regress,"v. 퇴보하다"
rechargeable,"a. 재충전할 수 있는"
reinforce,"v. 강화하다, 보강하다"
renowned,"a. 유명한, 명성 있는"
reform,"v. 개혁하다, 개선하다"
rephrase,"v. (뜻을 더 분명히 하기 위해) 바꾸어 말하다"
rejoice,"v. 기뻐하다"
retail,"n. 소매, 소매하다"
rehabilitate,"v. 재활시키다, 원상태로 회복시키다"
reproduce,"v. 복제하다, 번식하다"
