W,M
yearn,"v. 그리워하다, 동경하다, 갈망하다"
warrior,"n. 전사, 용사"
burden,"n. 무거운 짐, 부담; ~에게 짐[부담]을 지우다"
climate,"n. 기후"
conscious,"a. 의식이 있는, 의식하고 있는"
conscience,"n. 양심"
agent,"n. 대리인, 행위자, (스포츠, 연예 부문의) 에이전트"
bang,"v. (뱅, 쾅, 쿵) 소리, 쿵 부딪히다, 쾅 닫다"
run,"v. 1. (기계를) 작동시키다 2. (회사 등을) 운영하다"
run,"v. 1. 달리다 2. 흐르다"
apron,"n. 앞치마"
wagon,"n. 4륜마차"
commit,"v. (죄 등을) 저지르다, 범하다"
crunchy,"a. 바삭바삭한, 아삭아삭한"
ultimate,"a. 궁극적인, 최후의"
stink,"n. 악취; 악취를 풍기다"
pursue,"v. 뒤쫓다, 추구하다"
mistress,"n. 여주인"
bride,"n. 신부"
bridegroom,"n. 신랑"
ditch,"n. 도랑, 배수구"
runway,"n. 활주로"
rainforest,"n. 열대 우림"
leopard,"n. 표범"
funeral,"a. 장례의; 장례식"
career,"n. 직업, (직업상의) 경력"
thrive,"v. 번영하다, 무성해지다"
elementary,"a. 기초의, 초보의, 초등학교의"
right,"a. 1. 옳은 2. 오른쪽의 3. 권리"
element,"n. 요소, 성분"
cemetery,"n. 공동묘지"
will,"n. 의지, 의지력"
falcon,"n. 매"
earthquake,"n. 지진"
nasty,"a. 고약한, 끔찍한, 더러운"
dull,"a. 1. 둔한, 멍청한, 무딘 2. 따분한, 재미없는"
emergency,"n. 비상사태, 위급"
posture,"n. 자세"
billion,"n. 10억"
proficient,"a. 숙달된, 능숙한"
coward,"n. 겁쟁이, 비겁자"
instantaneous,"a. 순간적인, 즉석의"
particle,"n. 입자, 티끌"
correspond,"v. 1. 일치하다 2. 교신하다, 서신 왕래하다"
theme,"n. 주제, 제목"
arithmetic,"n. 산수, 계산"
demon,"n. 악마, 귀신"
loyal,"a. 충성스러운, 충실한"
refer,"v. 말하다, 언급하다"
refer,"v. 참고하다, 참조하다"
potential,"a. 가능성이 있는, 잠재하는; 가능성, 잠재력"
highlight,"n. 가장 중요한 부분, 강조하다,"
smash,"v. 힘껏 치다, 박살내다"
apt,"a. ~하는 경향이 있는, ~하기 쉬운"
reptile,"n. 파충류"
banquet,"n. 연회, 만찬"
address,"n. 1. 주소 2. 연설, 연설하다"
province,"n. 지역, 지방, 영역, 분야"
immoral,"a. 비도덕적인"
moral,"a. 도덕적인"
designate,"v. 1. 가리키다, 지정하다 2. 임명하다"
mechanical,"a. 기계의, 기계적인"
