W,M
statue,"n. 동상, 조각상"
stable,"a. 안정적인"
establish,"v. 설립하다, ~을 확립하다"
rectify,"v. 바로잡다, 수정하다"
rectangle,"n. 직사각형"
correct,"v. 정정하다, 바로잡다; 올바른"
erect,"v. (똑바로) 세우다, 똑바로 선"
gender,"n. 성(性), 성별"
indigenous,"a. 토착의, 고유의"
gene,"n. 유전자"
genetics,"n. 유전학"
generate,"v. 발생시키다, 일으키다"
regenerate,"v. 재건하다, 재생시키다"
degenerate,"v. 퇴보하다, 악화되다; 퇴보한, 타락한"
define,"v. 정의하다, 분명히 하다"
confine,"v. 한정하다, 제한하다, 감금하다"
infinite,"a. 무한한, 끝없는"
finale,"n. 대단원, 피날레"
definite,"a. 1. 한정된 2. 명확한, 확실한"
finalize,"v. 마무리짓다, 완성하다"
compassion,"n. 연민, 동정심"
pathetic,"a. 불쌍한, 애처로운"
sympathy,"n. 동정심, 공감"
passion,"n. 열정"
antipathy,"n. 반감"
empathy,"n. 감정 이입, 공감"
coral,"n. 산호"
twig,"n. 작은 가지"
symmetry,"n. (좌우의) 대칭, 균형"
gull,"n. 갈매기"
frost,"n. 서리, 성에"
parachute,"n. 낙하산"
radiate,"v. (빛, 열 등을) 방사하다, 방출하다"
punctual,"a. 시간을 엄수하는"
myth,"n. 신화, (근거 없는) 이야기"
conserve,"v. 1. 보존하다, 보호하다 2. 아끼다, 절약하다"
tangle,"v. 얽히다, 얽힘"
converter,"n. 변환시키는 것(사람)"
contagion,"n. 전염병, 전염"
bamboo,"n. 대나무; 대나무의"
attic,"n. 다락(방)"
fertile,"a. 비옥한, 다산의"
hostage,"n. 인질"
obscure,"a. 분명치 않은, 모호한"
vein,"n. 정맥, (식물의) 잎맥"
artery,"n. 동맥"
immense,"a. 엄청난, 막대한"
cynic,"n. 냉소적인 사람, 비꼬는 사람"
predator,"n. 포식자, 포식동물"
plumber,"n. 배관공"
thigh,"n. 허벅지"
sewage,"n. 하수, 오물"
oval,"a. 타원형의"
curly,"a. 곱슬곱슬한"
constitution,"n. 헌법"
constitution,"n. 구성, 형성"
shovel,"n. 삽; 삽질하다"
omit,"v. 1. 생략하다, 빼다 2. ~을 빠뜨리다"
preach,"v. 설교하다, 전도하다"
shave,"v. 면도하다"
mustache,"n. 콧수염"
beard,"n. 턱수염"
skeleton,"n. 해골, 뼈대"
realm,"n. 영역, 왕국"
dwell,"v. 살다, 거주하다"
dwell,"v. ~을 곰곰이 생각하다 (on)"
era,"n. 시대, 시기"
contemplate,"v. 심사숙고하다"
flock,"n. 떼, 무리, 떼 지어 모이다"
radical,"a. 급진적인, 근본적인"
aspire,"v. 열망하다"
scatter,"v. 흩뿌리다, 흩어지다"
wrinkle,"n. 주름"
afflict,"v. 괴롭히다"
optimist,"n. 낙관론자, 낙천주의자"
pessimist,"n. 비관주의자"
orchard,"n. 과수원"
acid,"a. 신, 산성의; 산"
riddle,"n. 수수께끼"
botany,"n. 식물학"
trim,"v. 다듬다, 손질하다"
comet,"n. 혜성"
hindrance,"n. 방해, 장애물"
texture,"n. 감촉, 질감"
peculiar,"a. 기묘한, 독특한"
queer,"a. 기묘한, 괴상한"
avalanche,"n. 눈사태, 산사태, 쇄도"
accentuate,"v. 강조하다"
paw,"n. (동물의) 발"
hay,"n. 건초; 건초를 만들다"
carve,"v. 새기다, 조각하다"
blink,"v. (눈 등을) 깜박이다, (불빛 등이) 깜박거리다"
naughty,"a. 버릇없는, 말썽쟁이의"
snatch,"v. 낚아채다, 납치하다"
utterly,"ad. 완전히"
utter,"a. 1. 완전한 2. 말하다"
roam,"v. 돌아다니다, 거닐다"
mummy,"n. 미라"
steer,"v. (차, 보트 등을) 조종하다"
spur,"n. 박차, 자극제, 박차를 가하다"
prudent,"a. 신중한, 조심성 있는"
reluctance,"n. 싫음, 꺼림"
arrogant,"a. 거만한, 오만한"
oak,"n. 오크(떡갈나무․참나무 등의 총칭)"
metro,"n. 1. 지하철 2. 대도시"
metropolis,"n. 수도, 중심지"
drench,"v. 흠뻑 젖게 하다"
barley,"n. 보리"
conquer,"v. 정복하다"
patrol,"n. 순찰, 순찰하다"
miser,"n. 구두쇠"
delicate,"a. 섬세한, 민감한, 연약한"
barter,"v. 물물교환하다, 물물교환"
alter,"v. 바꾸다, 수정하다"
alternative,"n. 1. 양자택일 2. 대안, 대체"
alternate,"a. 번갈아 하는, 하나 거르는, 번갈아 하다"
embark,"v. 1. 시작하다, 착수하다 2. 승선시키다"
cannon,"n. 대포; 대포를 쏘다"
squash,"v. 짓누르다, 으깨다, 과즙, 음료"
digestion,"n. 소화"
peninsula,"n. 반도"
rag,"n. 누더기, 걸레"
adhere,"v. 들러붙다, 고수하다"
weave,"v. 짜다, 엮어 만들다"
status,"n. 1. 지위 2. 상황"
status quo,"n. 현재의 상황"
stifle,"v. 숨을 막다, 억누르다"
momentous,"a. 중대한, 중요한"
enthusiasm,"n. 열정, 열의, 열광"
presume,"v. 추정하다, 추측하다"
dose,"n. 1회 분량, 복용량"
mischievous,"a. 말썽꾸러기의, 짓궂은"
vague,"a. 모호한, 희미한"
formula,"n. 공식, 식"
verse,"n. 운문, 시"
prose,"n. 산문, 산문체"
disguise,"v. 변장하다, 숨기다; 변장"
simultaneous,"a. 동시의"
revenue,"n. 수입, 수익"
plow,"v. (밭을) 갈다, 쟁기질하다; 쟁기"
ruin,"v. 파멸시키다, 망치다; 파멸"
satire,"n. 풍자"
reckless,"a. 앞뒤를 가리지 않는, 무모한"
astray,"a. 길을 잃은, 잘못된 길로 빠진"
cliff,"n. 절벽, 낭떠러지"
creep,"v. 기다, 살금살금 움직이다"
erode,"v. 침식시키다, 서서히 약화시키다"
Jew,"n. 유대인, 유대교 신자"
sermon,"n. 설교, 훈계"
bait,"n. 미끼"
refrain,"v. 그만두다, 삼가다"
decay,"v. 썩다, 부패하다, 부패"
nominate,"v. (후보자로) 지명하다, 임명하다"
showcase,"n. 진열장, 공개행사"
faint,"v. 기절하다"
faint,"a. 희미한, 약한"
versus,"prep. ~ 대 (vs.)"
breeze,"n. 산들바람, 산들바람이 불다"
reed,"n. 갈대, 갈대밭"
cherish,"v. 소중히 여기다, 소중히 간직하다"
admiral,"n. 해군 대장, 제독"
razor,"n. 면도칼, 면도기"
choir,"n. 합창단, 성가대"
vicious,"n. 사악한, 사나운"
lumber,"n. 목재"
timber,"n. 목재"
ban,"n. 금지, 금지하다"
stripe,"n. 줄무늬, 줄"
bystander,"n. 구경꾼"
graze,"v. (가축을) 방목하다, 풀을 뜯어먹다"
aisle,"n. (극장, 비행기 등의 좌석 사이의) 통로, 복도"
splendid,"a. 빛나는, 화려한, 훌륭한"
sin,"n. 죄, 죄악"
pastime,"n. 오락, 기분전환"
rein,"n. 1. 고삐 2. 고삐를 죄다, 억제하다"
reindeer,"n. 순록"
