W,M
assign,"v. 할당하다, 선임하다, (때․장소를) 지정하다"
allocate,"v. 할당하다, 배정하다"
assure,"v. 장담하다, 보장하다"
reassure,"v. 안심시키다"
accustom,"v. 익숙하게 하다"
discharge,"v. (회사, 형무소, 군대, 병원 등에서) 내보내다, 방출하다, 해고, 석방, 제대"
discard,"v. 버리다, 폐기하다"
distort,"v. 일그러뜨리다, 왜곡하다"
disperse,"v. 해산시키다, 흩어지다"
displace,"v. 1. 대체하다 2. 쫓아내다"
disabled,"a. 불구가 된, 무능력해진"
disapprove,"v. 찬성하지 않다, 못마땅해 하다"
periscope,"n. 잠망경"
telescope,"n. 망원경"
microscope,"n. 현미경"
scope,"n. 범위, 여지, 기회"
transform,"v. 변형시키다, 바꾸다"
translate,"v. 번역하다, 통역하다"
transplant,"n. 이식, 이식하다, 옮겨 심다"
transparent,"a. 투명한, 비치는"
transfer,"v. 옮기다, 이동하다, 갈아타다"
transaction,"n. 거래, 매매, (업무의) 처리"
trespass,"v. 침입하다, 침해하다"
overlap,"v. 겹치다, 겹치게 하다"
overthrow,"v. 뒤집어엎다, 전복시키다"
overbearing,"a. 거만한, 남을 지배하려 드는"
overstate,"v. 과장하다"
prestige,"n. 명성, 위신"
predicament,"n. 곤경, 궁지"
preliminary,"a. 예비의, 서두의"
preside,"v. 주재하다, 사회를 보다"
preview,"n. 미리 보기, 시사회, 미리 보여주다"
preface,"n. 머리말, 서문"
prefix,"n. 접두사"
suffix,"n. 접미사"
premature,"a. 예정보다 이른, 시기상조의"
preoccupied,"a. (생각 · 걱정에) 사로잡힌, 몰두한"
preconceive,"v. 선입견을 갖다, 예상하다"
postpone,"v. 연기하다"
posterior,"a. 1. 나중의, 이후의 2. 뒤쪽의"
postwar,"a. 전후의"
eco-friendly,"a. 친환경적인"
ecology,"n. 생태학, 생태"
ecosystem,"n. 생태계"
autonomous,"a. 자주적인, 자치의, 자율적인"
automate,"v. 자동화하다"
semicircle,"n. 반원"
semifinal,"n. 준결승"
psychiatry,"n. 정신의학"
centennial,"a. 100년마다의, 100년간의"
conspire,"v. 공모하다, 음모를 꾸미다"
inspire,"v. 영감을 불어넣다"
perspire,"v. 땀을 흘리다, 땀이 나다"
expire,"v. 만료되다, 숨을 거두다"
respire,"v. 호흡하다, 숨쉬다"
chronic,"a. 만성적인, 고질적인"
synchronous,"a. 동시에 일어나는"
chronological,"a. 연대순의, 연대기의"
humid,"a. 습한"
midwife,"n. 산파, 조산사"
intermediate,"a. 중간의, 중급의"
median,"a. 중앙의, 평균치의"
medieval,"a. 중세의"
mediate,"v. 중재하다, 조정하다"
medium,"a. 1. 중간의 2. 매개물, 매체"
Mediterranean,"n. 지중해; 지중해의"
amid,"prep. ~하는 가운데, ~의 한복판에"
inscribe,"v. 새기다, 쓰다"
prescribe,"v. (약․치료법 등을) 처방하다"
prescribe,"v. 규정하다"
script,"n. 대본, 원고"
postscript,"n. 추신(p.s.), 후기"
manuscript,"n. (책 등의) 원고"
transcribe,"v. 기록하다, 옮겨 적다"
subscriber,"n. 구독자, 가입자"
