W,M
clap,"v. 손뼉을 치다, 박수, 탁(쿵) 소리"
idol,"n. 우상"
eager,"a. 간절히 바라는"
pretend,"v. ~인 체하다, 가장하다"
trace,"n. 자취, 발자국; 추적하다"
rural,"a. 시골의"
atmosphere,"n. 분위기, 공기"
pregnant,"a. 임신한"
form,"n. 1. 형태, 모양, 형성하다 2. 서식, 기입용지"
formation,"n. 1. 형성 2. 대형(편대)"
endure,"v. 견디다, 참다"
property,"n. 1. 재산, 자산 2. 특성"
avenue,"n. (도시의) 거리, 도로"
artificial,"a. 인공의, 가짜의"
ware,"n. 제품, 상품"
warehouse,"n. 창고"
hazard,"n. 위험"
conflict,"v. 싸우다, 상충하다, 싸움, 갈등"
greenhouse,"n. 온실, 비닐하우스"
degree,"n. 1. 등급, 정도 2. 학위 3. (각도, 온도의 단위인) 도"
soak,"v. 담그다, 흠뻑 젖다"
regulation,"n. 규율, 규칙"
bother,"v. 괴롭히다, 신경 쓰이게 하다, 신경 쓰다"
pour,"v. 붓다, 퍼붓다"
task,"n. 해야 할 일, 직무"
majority,"n. 대다수, 대부분"
preserve,"v. 보존하다, 유지하다"
arrow,"n. 화살, 화살표"
free,"a. 1. 자유로운 2. ~가 없는, 무료의"
carefree,"a. 근심 없는"
decease,"n. 사망, 사망하다"
horizon,"n. 수평선, 지평선"
watchful,"a. 주의 깊은, 경계하는"
lean,"v. 기대다, 기울이다"
spill,"v. 흘리다, 쏟다, 쏟음, 유출"
personality,"n. 개성, 성격"
grant,"v. 1. 승인하다, 허가하다; 승인, 허가 2. 보조금"
lick,"v. 핥다"
plain,"n. 평원, 벌판"
plain,"a. 1. 평범한, 쉬운 2. 명백한"
debt,"n. 빚, 채무"
emphasize,"v. 강조하다"
log,"n. 통나무"
sow,"v. (씨를) 뿌리다"
sew,"v. 바느질하다, 꿰매다"
saw,"n. 톱; 톱질하다"
flood,"n. 홍수, 넘치다, 쇄도하다"
delete,"v. 삭제하다, 지우다"
tame,"a. 길들여진, 말을 잘 듣는, 길들이다"
typhoon,"n. 태풍"
consist,"v. 1. 구성되다 2. 일치하다"
frequent,"a. 자주 일어나는, 빈번한"
lawn,"n. 잔디, 잔디밭"
fascinate,"v. 넋을 빼앗다, 매혹하다,"
elaborate,"a. 1. 공들인, 정교한 2. 상세히 설명하다"
view,"n. 1. 봄, 경치, 바라보다 2. 견해; ~라고 생각하다"
operate,"v. 1. 수술하다 2. (기계․장치 등을) 조종하다, 작동되다 3. 경영하다, 관리하다"
craft,"n. 1. 기술, 기능 2. 술수 3. 우주선, 항공기"
mine,"n. 1. 나의 것(소유대명사) 2. 광산; 채굴하다"
undermine,"v. (기반, 권위 등을) 약화시키다"
obstacle,"n. 방해, 장애(물)"
wrap,"v. 싸다, 포장하다; 싸개"
appeal,"v. 1. 애원하다, 호소하다 2. 마음을 끌다, 매력"
navigation,"n. (배, 항공기의) 항해, 운항"
nectar,"n. 과즙(음료), 꿀"
equipment,"n. 장비, 용품, 장비 설치"
sparrow,"n. 참새"
tune,"n. 멜로디, 곡조, 조율하다, 튜닝하다"
planet,"n. 행성"
layout,"n. 배치도, 배치"
obey,"v. 복종하다, 따르다"
qualify,"v. 자격을 주다, 자격을 얻다"
pirate,"n. 해적"
offer,"v. 제공하다, 제안하다; 제공, 제안"
row,"v. 노를 젓다"
row,"n. 열, 줄"
attorney,"n. 변호사"
deposit,"v. (돈ㆍ 물품 등을) 맡기다, 두다, 보증금"
fireplace,"n. 벽난로"
dump,"v. (쓰레기를) 내버리다"
hawk,"n. 매"
bucket,"n. 물통, 양동이"
affection,"n. 애정, 애착"
hold,"v. 1. 붙들다, 유지하다 2. (모임 등을) 개최하다, 열다"
lease,"v. 임차하다, 임대하다, (집 등의) 임대차 계약"
probable,"a. 있음직한, 가능성 있는"
prosper,"v. 번영하다"
host,"n. 1. (연회 등의) 주최자, 진행자, 주최하다, 진행하다"
noble,"a. 고귀한, 양반의, 귀족의"
ignoble,"a. 비열한, 비천한"
