W,M
menace,"n. 협박, 위협"
hamper,"v. 방해하다"
smallpox,"n. 천연두, 마마"
slender,"a. 호리호리한, 날씬한, 빈약한"
coerce,"v. 강요하다, 강제하다"
haul,"v. 끌어당기다"
plausible,"a. (이유․논리 등이) 그럴듯한, 정말 같은"
demolish,"v. 파괴하다, 철거하다"
spawn,"v. (물고기, 개구리 따위가) 알을 낳다, (어떤 결과를) 낳다"
cornerstone,"n. 초석, 토대"
bewilder,"v. 당황하게 하다"
torment,"n. 고통, 고뇌; 고통을 주다"
forbear,"v. ~을 삼가다, 참다"
compulsory,"a. 강제적인, 의무적인"
chivalry,"n. 기사도 (정신)"
lurk,"v. 숨다, 잠복하다"
prairie,"n. 대초원"
drizzle,"n. 이슬비; 이슬비가 내리다"
chubby,"a. 통통한, 토실토실한"
handy,"a. 1. 편리한, 유용한 2. 능숙한 3. (손에 닿을 정도로) 가까이 있는"
bizarre,"a. 기괴한, 특이한"
ubiquitous,"a. 어디에나 존재하는"
stale,"a. 신선하지 않은, 퀴퀴한"
demanding,"a. 요구가 많은, (일이) 힘든"
queue,"n. 줄, 대기 행렬, 줄서서 기다리다"
viable,"a. 1. 실행 가능한 2. 생존 가능한"
slaughter,"v. 도살하다, 학살하다 ; 도살, 학살"
cater,"v. 음식을 공급하다"
ratify,"v. 승인하다, 비준하다"
span,"n. 1. 지속 기간 2. 거리, 폭, 범위"
perplex,"v. 당황하게 하다"
ailment,"n. 병, 질병"
dilute,"v. 묽게 하다, 희석시키다, 약화시키다"
cordial,"a. 진심에서 우러난, 우호적인"
vain,"a. 1. 헛된 2. 허영심이 많은"
vanity,"n. 1. 허영심, 자만심 2. 헛됨"
plague,"n. 전염병"
groan,"n. 신음, 신음하다"
devoid,"a. ~이 빠진, ~이 없는"
wail,"v. 울부짖다, 통곡"
fetch,"v. (가서) 가지고 오다, 데리고 오다"
stride,"n. 걸음, 성큼성큼 걷다"
rote,"n. (반복에 의한 기계적 ) 암기"
clatter,"n. 덜거덕(털커덕)하는 소리, 덜거덕 소리를 내다"
acoustic,"a. 1. 청각의, 음향의 2. (음악) 전자 장치를 쓰지 않은"
amphibian,"n. 1. 양서류 2. 수륙 양용의"
default,"n. (채무, 약속 등의) 불이행; 실행하지 않다"
wax,"n. 1. 왁스, 밀랍 2. (달이) 차오르다, 점차 커지다"
divine,"a. 신의, 신성한"
dispatch,"v. 급파하다, 발송하다, 빨리 해치우다"
deputy,"n. (최고 계급 다음 가는 직급인) 부-(부대표, 부사장..), 대리인"
limp,"a. 1. 기운 없는, 축 처진 2. 절뚝거리다"
delinquent,"a. 1. 비행의, 과실 있는 2. 채무 불이행의"
enchant,"v. 매혹하다"
hands-on,"a. 직접 해보는"
ecstasy,"n. 황홀, 무아지경"
optician,"n. 안경사, 안경점"
discourse,"n. 강연, 담화"
bail,"n. 보석(금), 보석으로 풀어주다"
momentum,"n. 추진력, 가속도"
harassment,"n. 괴롭힘, (성적) 추행"
exempt,"a. 면제되는; 면제하다"
eligible,"a. 적격의, 자격이 있는"
mortgage,"n. 저당, 담보 대출"
turmoil,"n. 소란, 소동"
lethal,"a. 죽음을 초래할, 치명적인"
quarantine,"n. (전염병 때문에) 격리; 격리하다"
vibrant,"a. 1. (소리, 음성이) 떨리는 2. 활기찬, 힘찬"
eradicate,"v. 뿌리 뽑다, 근절하다"
extrovert,"n. 외향적인 사람"
dismantle,"v. 해체하다, 철거하다"
metaphor,"n. 은유, 비유"
clutch,"v. 붙들다, 꽉 잡다"
loom,"v. ~처럼 보이다, 어렴풋이 나타나다"
lament,"v. 슬퍼하다; 슬픔"
myriad,"n. 무수히 많음, 무수한"
wag,"v. (꼬리 등을) 흔들다"
sabotage,"n. (공장설비 따위의) 파괴, 방해, 파괴하다, 방해하다"
liability,"n. 1. 책임 2. 골칫거리"
pending,"a. 1. 미결의, 계류 중인 2. 임박한, 곧 있을 3. (어떤 일이) 있을 때까지"
hygiene,"n. 위생"
threshold,"n. 문지방, 문턱, 한계점"
freight,"n. 화물, 화물운송"
brew,"v. (차를) 끓이다, (맥주 등을) 양조하다"
rhetoric,"n. 미사여구, 수사학"
maxim,"n. 격언, 금언"
formidable,"a. 무시무시한, 엄청난"
blunt,"a. 1. 무딘, 뭉툭한, 무디게 하다 2. 퉁명스러운, 직설적인"
falter,"v. (마음, 안정성, 말 등이) 흔들리다"
swap,"v. (서로) 교환하다, 교대로 하다"
