W,M
suspicious,"a. 의심스러운"
bunch,"n. 다발, 송이"
utility,"n. 1. 유용성, 쓸모 있는 것 2. (수도, 전기 등의) 공익 시설"
root,"n. 뿌리, 근원"
glide,"v. 미끄러지듯 가다, 활강하다"
compensation,"n. 보상, 배상"
evolve,"v. 발전하다, 진화하다"
lest ~ (should),"conj. ~하지 않도록"
moth,"n. 나방"
moss,"n. 이끼"
humble,"a. 1. 초라한 2. 겸손한"
horn,"n. 1. 호른 2. 뿔, 뿔피리 3. 경적"
therapy,"n. 치료, 치료법"
naked,"a. 나체의, 벌거벗은"
negligent,"a. 태만한, 부주의한"
neglect,"v. 태만히 하다, 방치하다; 태만, 방치"
solution,"n. 1. 해결, 해답 2. 녹임, 용액"
coverage,"n. 1. (신문, TV의) 보도 2. (보상, 적용 등의) 범위"
arctic,"a. 북극의; 북극"
brutal,"a. 잔인한, 잔혹한"
pasture,"n. 목장, 목초지"
moisture,"n. 습기, 수분"
surgery,"n. 수술"
majesty,"n. 위엄, 장엄, 폐하"
bullet,"n. 총알"
leather,"n. 가죽; 가죽의"
harm,"n. 손해, 해, 해를 끼치다"
emigrate,"v. (다른 나라로) 이주하다"
immigrate,"v. (외국으로부터) 이주해 오다"
migrate,"v. 이주하다, 이동하다"
burglary,"n. 도둑질"
amusing,"a. 재미있는, 즐거운"
tease,"v. 집적거리다, 괴롭히다"
possess,"v. 소유하다, 지니다"
raid,"n. 공습, 급습, 공습하다, 급습하다"
duty,"n. 의무, 업무, 세금"
genius,"n. 천재, 천재적 재능"
bend,"v. 구부리다"
collect,"v. 모으다, 수집하다"
recollect,"v. 기억해 내다, 생각해 내다"
holy,"a. 성스러운, 신성한"
remote,"a. 먼, 멀리 떨어진"
lettuce,"n. 양상추"
precious,"a. 귀중한, 값비싼"
precise,"a. 정확한, 정밀한"
dinosaur,"n. 공룡"
vessel,"n. 1. (큰) 배 2. 그릇"
official,"a. 공적인, 공식적인; 공무원"
manual,"a. 1. 손으로 하는 2. 안내서"
manufacture,"n. 제조, 제조하다"
heedless,"a. 조심성 없는, 부주의한"
beneath,"ad. 아래에, ~밑에"
policy,"n. 정책, 방침"
coal,"n. 석탄"
trial,"n. 1. 시도 2. 재판"
appreciate,"v. 1. 감사하다 2. 진가를 인정하다 3. 감상하다"
parallel,"a. 1. 평행한, ~에 평행하다 2. 유사한, ~에 필적하다"
gorgeous,"a. 아주 멋진, 아주 아름다운"
accord,"n. 일치, 부합, 합의; 일치하다, 부합하다"
accordingly,"ad. 따라서, 그에 따라"
according to,"ad. ~에 따라"
tragic,"a. 비참한, 비극적인"
orient,"v. 1. ~로 향하게 하다, 지향하다 2. 동양, 동양의"
pierce,"v. 꿰뚫다, 관통하다"
fierce,"a. (동물, 폭풍우 등이) 사나운"
party,"n. 1. 파티, 모임 2. 정당, 단체 3. 당사자"
face,"n. 1. 얼굴, 정면 2. ~을 마주보다, 향하다 3. ~을 직면하다"
tropic,"n. 열대 지방"
ideal,"n. 이상, 이상적인"
stare,"v. 응시하다, 바라보다"
succeed,"v. 1. 성공하다 2. 뒤를 잇다, 계승하다"
crucial,"a. 결정적인, 중대한"
attain,"v. 달성하다, 성취하다"
venture,"n. 모험, 모험적 사업; (위험을 무릅쓰고 모험하듯) 가다(하다)"
morale,"n. 사기, 의욕"
device,"n. 장치, 방법"
liver,"n. 간"
essential,"a. 필수의, 본질적인"
essence,"n. 본질, 핵심"
volume,"n. 1. 양, 부피, 음량(볼륨) 2. 책, 권"
manage,"v. 1. 경영하다, 관리하다 2. 해쳐나가다, 그럭저럭 살아가다"
election,"n. 선거, 당선"
liable,"a. 1. ~하기 쉬운, ~할 것 같은 2. 책임져야 할"
straw,"n. 1. 스트로, 빨대 2. 지푸라기, 짚"
entertain,"v. 즐겁게 해 주다, 대접하다"
expert,"n. 전문가, 전문가의"
chief,"a. 1. 최고의, 주요한 2. 우두머리, 최고위자의"
compose,"v. 구성하다"
compose,"v. 작곡하다, 작문하다"
certificate,"n. 증명서, 면허증"
component,"n. 구성요소, 성분"
certify,"v. 증명하다, 보증하다"
