W,M
sign,"징후, 조짐, 신호, 표시, 표지판, 기호, 서명하다, 계약하다, 신호를 보내다"
signature,"서명, 특징"
signal,"신호, 신호를 보내다, 암시하다"
significant,"중대한, 중요한, (수, 양 등이) 상당한, 현저한, (표정, 행동 등이) 의미심장한"
significantly,"상당히, 중요하게"
significance,"중요성, 중대성, (말, 행동 등의) 의미"
signify,"의미하다, 나타내다, 중요하다, 영향을 끼치다"
assign,"(임무, 역할 등에) 임명[선임]하다, (일, 사물 등을) 할당하다, 부여하다"
assignment,"임무, 과제, 숙제, 할당받은 것"
design,"디자인하다, 설계[고안]하다, 디자인(된 형태), 설계(도), 도안, 계획"
designer,"디자이너, 설계자, 유명 디자이너가 만든"
designate,"지정[지명]하다, 표시하다, 나타내다, 지정[지명]된"
designation,"지정, 지명, 명칭, 호칭"
resign,"사임[사직]하다, 포기하고 ...을 받아들이다"
resignation,"사직, 사임, 체념"
seal,"(편지를) 봉하다, 밀폐[밀봉]하다, 확정하다, 인장, 도장, 봉인, 바다표범, 물개"
correct,"옳은, 올바른, 적당한, 바로잡다, 정정하다"
correctly,"바르게, 정확하게"
correction,"정정[수정]한 것, 교정"
direct,"직접의, 직접적인, 직행의, 직통의, (주의, 노력 등을) (...로) 돌리다, 향하게 하다, 지도[감독]하다, (연극, 영화 등을) 연출[감독]하다, 길을 가르쳐주다, 명령하다, 지시하다"
directly,"곧장, 똑바로, 직접적으로, 즉시, 바로, 곧"
direction,"방향, 지도, 지시, (연극, 영화의) 연출, 감독"
director,"감독자, 연출자, 지도자"
erect,"똑바로 선, (똑바로) 세우다, (건물 등을) 짓다"
rectangular,"직사각형의, 직각의"
rectangle,직사각형
region,"지역, 지방, 지대, (신체의) 부분"
regional,지역적인
regular,"규칙적인, 정기적인, 보통의, 표준적인"
regularly,"정기적으로, 규칙적으로"
regularity,"정기적임, 규칙적임, 규칙성"
regulate,"(법률, 규칙으로) 규제[통제]하다, 규정하다, (속도, 온도, 압력 등을) 조정하다, 조절하다"
regulation,"규칙, 규정, 규제, 단속"
royal,"왕의, 왕실의, 왕립의"
royalty,"왕족, 인세, 사용료, 로열티"
rule,"규칙, 원칙, 통치, 지배, 통치[지배]하다, (공식적으로) 결정[판결]하다, (자를 대고 줄을) 긋다"
ruler,"통치자, (길이를 측정하는) 자"
form,"형태, 모양, 형식, 양식, 종류, 유형, 형성하다, 형성되다"
formal,"격식을 차린, 공식적인, 정식의"
formation,"형성, 구성, 구조"
inform,"알리다, 통지하다"
information,"정보, 지식"
informative,"유익한, 정보를 제공하는"
reform,"개혁하다, 개선하다, 개혁되다, 개선되다, 개혁, 개선"
reformer,"개혁가, 개혁론자"
formula,"방식, 방법, 공식, 식"
formulate,"만들어내다, 공식화하다"
technique,"(학문, 과학 등의) (전문) 기술, 기법, 테크닉, (예술, 스포츠 등의) 기교, 솜씨"
technical,"기술적인, 전문적인"
technically,"엄밀히 말하면, 기술적으로"
technician,기술자
technology,과학 기술
technological,과학 기술의
technologist,과학 기술자
structure,"구조, 조직, 체계, 건축물, 구조물, 구성하다, 조직화하다"
structural,"구조상의, 조직상의"
infrastructure,사회 기반 시설
construct,"건설하다, 세우다, (문장, 글 등을) 만들다, 구성하다, 건축물, 구조물, (복잡한) 생각"
construction,"건설, 건축 (공사), 구조, 건축물, 구조물"
constructive,"(의견, 비판 등이) 건설적인, 유용한"
instruct,"(...하라고) 지시하다, 가르치다, 교육하다"
instruction,"지시, 지침서, 설명서, 가르침, 교육"
instructor,"교사, 강사, 지도자, (대학의) 전임 강사"
instructive,"유익한, 교육적인"
instrument,"기구, 도구, 악기"
instrumental,"도움이 되는, 중요한"
industry,"산업, 공업, 제조업, 근면"
industrial,"산업의, 산업이 발달한"
industrialize,산업화하다
industrialization,산업화
destroy,"파괴하다, 손상시키다, (삶, 계획 등을) 망치다"
destruction,파괴
destructive,"파괴적인, 부정적인"
vary,"(크기, 모양 등이) 다르다, (상황에 따라) 달라지다, 다르게 하다, 차이를 주다"
varied,"다양한, 다채로운"
variety,"다양성, 다양함"
various,"다양한, 가지각색의"
variable,"변동이 심한, 변덕스러운, 바뀔 수 있는, 변수"
invariable,"변하지 않는(것), 불변의 (것)"
variance,"차이, 불일치, 격차"
variant,"변종, 변형, 상이한, 다른, 갖가지(의)"
variability,"가변성(변할 수 있음), 다양성"
variation,"(양, 정도의) 차이, 변화(량/율), 변형, 변주(곡)"
similar,"비슷한, 유사한"
similarity,"비슷함, 닮음, 유사점"
similarly,"유사하게, 마찬가지로"
resemble,"...을 닮다, 유사하다"
resemblance,유사함
assemble,"모으다, 모이다, 조립하다"
assembly,"(입법) 의회, 입법부, 모임, 조립"
seemingly,"겉보기에는, 표면상은"
simulation,"흉내, 모의실험, 시뮬레이션"
simulate,"가장하다, ...인 체하다, 모의실험 하다"
simultaneously,"동시에, 일제히"
simultaneous,동시의
prime,"가장 중요한, 최상의, 전성기"
primary,"제1의, 주요한, 최초의, 처음의, 초기의, 초등의, 초급의"
primarily,"첫째로, 주로, 본래"
primitive,"원시(시대)의, 원시적인"
primeval(primaeval),"원시시대의, 태고의"
principal,"주요한, 으뜸가는, 교장, 학장, (단체의) 우두머리, 장"
principle,"원리, 원칙, 신념, 주의, 방침"
prior,"먼저의, 이전의, ...에 우선하는, (...보다) 중요한"
priority,"우선순위, 우선(권)"
prioritize,"우선순위를 매기다, 우선시키다"
option,"선택(권), 선택지, 선택의 자유, (학교의) 선택 과목, (제품 따위의) 옵션"
optional,선택적인
adopt,"입양하다, 양자로 삼다, (의견, 방법, 계획 등을) 채택하다, 취하다"
adoption,"채택, 입양"
opinion,"의견, 생각, 견해"
complicate,복잡하게 하다
complicated,"복잡한, 뒤얽힌"
simplicity,"단순, 간단"
simplify,"단순화하다, 간단하게 하다"
simplification,"단순화, 간소화"
complex,"복잡한, 복합의, 합성의, 건물 단지, 복합건물, 복합체, 합성물, (정신적) 콤플렉스, 강박관념"
complexity,"복잡성, 복잡함"
perplex,(사람을) 당황[난처]하게 하다
imply,"내포[함축]하다, 암시하다, 넌지시 비추다"
implicit,"암시된, 내포된"
implication,"(행동, 결정의) 영향, 함축, 암시"
apply,"지원하다, 신청하다, (방법, 이론, 규칙 등을) 적용하다, 응용하다, 적용되다, 해당되다, (연고, 물감 등을) 바르다"
application,"지원(서), 신청(서), 적용, 응용, 붙임, 바름, 응용프로그램, 앱"
applicant,"지원자, 신청자, 응모자"
employ,"(사람을) 고용하다, (기술, 물건을) 사용하다"
employer,"고용주, 사용자, 주인"
employee,"피고용인, 종업원"
employment,"고용(률), 일자리"
unemployment,"실업(률), 실직"
unemployed,"실직한, 일이 없는"
diplomatic,"외교(상)의, 외교에 능한, 외교적 수완이 있는"
diplomat,외교관
diplomacy,"외교, 외교술, 외교적 수완"
exploit,"(사람, 상황 등을 부당하게) 이용하다, (노동력을) 착취하다, (자연, 자원 등을) 개발하다, 활용[이용]하다, 위업, 공적"
exploitation,"착취, 개발"
inject,"주입하다, 주사하다"
injection,"주입, 주사"
object,"물체, 사물, 목적, 목표, (감정, 행동의) 대상, 목적어, 반대하다, 반박하다"
objective,"목적, 목표, 객관적인"
objection,"반대, 이의, 거부"
reject,"거절[거부]하다, 불합격시키다, 불합격품[자], 거부된 것[사람]"
rejection,"거절, 거부"
subject,"(토론, 연구 등의) 주제, 학과, 과목, 주어, (실험, 연구 등에서) 피실험자, 대상, 국민, (...에) 영향받기 쉬운, (...의) 지배를 받는, (승인 등을) 받아야 하는, 지배하다, 복종시키다"
subjective,주관적인
project,"프로젝트, 계획, 계획하다, 예상[추정]하다, 투영하다, 비추다, 돌출되다"
