W,M
strict,"엄격한, 엄한, 정확한, 엄밀한"
strictly,"엄격히, 엄하게, 정확히"
restrict,"제한하다, 한정하다"
restriction,"(행동, 크기, 범위 등의) 제한, 한정"
district,"(행정, 사법, 교육 등의) 지구, 구역, 지역"
strain,"긴장(감), 피로, 부담, 중압, 노력, 분투, 노력하다, 애쓰다, (근육, 신체 일부를) 혹사시키다"
restrain,"(...을) 제지하다, 못하게 하다, (감정, 행동 등을) 억누르다, 억제하다"
restraint,"억제, 규제, 자제"
constrain,"...하게 만들다, 강요하다, 억누르다, 억제하다"
constraint,"제한, 제약"
strait,"해협, (특히 경제적인) 곤경, 궁핍"
distress,"고통, 고뇌, 고민, 곤경, 빈곤, 괴롭히다, 곤란하게 하다"
stress,"긴장, 스트레스, 압력, 압박, (중요성의) 강조, 강세, 강조하다, (발음) 강세를 두다, 스트레스를 주다[받다]"
prestige,"명성, 위신, 명성이 있는, 명문의, 일류의"
prestigious,"명성이 있는, 명문의"
fund,"기금, 자금, (사업, 행사 등을 위해) 자금을 제공하다"
fundamental,"근본적인, 기본적인, 중요한, 필수적인"
fundamentally,"근본적으로, 기본적으로, 필수적으로"
found,"설립하다, ...에 기초[근거]를 두다"
foundation,"기초, 기반, 설립, 재단"
founder,"설립자, 창립자"
profound,"(영향, 효과 등이) 강한, (사상, 의미 등이) 심오한, 깊은"
pressure,"압력, 압박(감)"
express,"(감정, 생각을) 표현하다, 나타내다, 명시된, 명확한, 뚜렷한, (열차 등이) 급행의, (우편) 속달의, 급행열차, 고속버스, (우편) 속달"
expression,"표현(법), (얼굴) 표정, 식"
expressive,"표현이 풍부한, (감정 등을) 표현하는"
impress,"깊은 인상을 주다, 감동시키다, (도장 등을) 찍다"
impression,"인상, 느낌, 감명, 자국"
impressed,"인상 깊게 생각하는, 감동을 받은"
impressive,"인상적인, 감명을 주는"
oppress,"억압하다, 탄압하다, 박해하다"
oppression,"억압, 억제"
conclude,"결론을 내리다, 끝나다, 끝내다"
conclusion,"결론, 결말, 종결, (조약 등의) 체결"
include,"포함하다, 함유하다, 넣다, (전체의 일부로서) 포함시키다"
inclusion,"포함, 함유(물)"
inclusive,"(가격, 경비에) 포함된, 포괄적인, 폭넓은"
exclude,"(고의로) 제외하다, 배제하다, 배척하다, (참여, 입장 등을) 막다, 추방하다, 쫓아내다"
exclusion,"제외, 배제, 배척"
exclusive,"독점적인, 배타적인, 고급의, 고가의, (신문 기사의) 독점, 특종"
exclusively,"독점적으로, 오로지"
closet,(붙박이형) 벽장
disclose,"(비밀 따위를) 들추어내다, 폭로하다, 드러내다"
disclosure,"폭로, 탄로, 폭로된 비밀"
biography,"전기, 일대기"
biographer,전기 작가
biology,생물학
biological,생물학적인
biologist,생물학자
microbe,미생물
current,"지금의, 현재의, 현행의, (물, 공기, 전기 등의) 흐름, (생각 등의) 경향, 풍조"
