W,M
combine,"결합하다, 결합되다, 겸비하다"
combination,"결합, 조합, (자물쇠 등의) 번호 (조합)"
company,"친구, 동료, 회사, 동석, 동행, 함께 있음"
complain,"불평하다, 항의하다"
complaint,"불평, 항의"
compile,"편집[편찬]하다, (자료를) 수집하다"
compress,"압축하다, 꾹 누르다, (사상, 언어 등을) 간결하게 하다, 요약하다"
compose,"구성하다, 작곡하다, (글을) 쓰다"
composition,"구성, 조립, 작문, 작곡, (음악, 미술, 시) 작품"
composer,작곡가
compromise,"타협, 절충, 타협[절충]하다"
confirm,"(예약, 약속 등을) 확인하다, 확정하다, (...이 사실임을) 보여주다, 확인해주다, (...이 맞다고) 인정하다"
confirmation,"확인, 확증"
connect,"연결하다, 잇다, 관련시키다, 연관시키다, (인터넷, 기기, 네트워크 등에) 연결[접속]하다"
connection,"관련성[연관성], 연결, 접속"
conform,"(관습, 법, 규칙 등에) 순응하다, 따르다"
conformity,"따름, 순응, 일치"
confront,"(문제, 어려움 등에) 직면하다, ...에 맞서다"
confrontation,"대립, 대결"
correspond,"(...에) 해당[대응]하다, 일치[부합]하다, 서신을 주고받다"
corresponding,(...에) 상응하는
correspondence,"서신 왕래, 대응[상응], 일치"
collapse,"붕괴되다, 무너지다, (의식을 잃고) 쓰러지다, 붕괴, 쓰러짐, 실패"
symphony,"교향곡, 심포니"
synthetic,"합성한, 인조의, 종합적인"
synthesize,"합성하다, 종합하다, 종합적으로 다루다"
absorb,"(액체, 기체를) 흡수하다, (정보, 지식 등을) 받아들이다, 열중하게 하다"
abnormal,비정상적인
abnormality,"비정상, 이상"
absolute,"완전한, 전적인, 절대적인, 확실한, 틀림없는, 전제[독재]적인, 무제한의"
absolutely,"완전히, 전적으로, 그렇고 말고"
absurd,"어리석은, 터무니없는, 불합리한"
separate,"분리된, 갈라진, 별개의, 따로따로의, 분리하다, 갈라놓다, 분리되다, 갈라지다"
separately,"따로따로, 개별적으로"
separation,"분리, 분할, 구별, (부부 간의) 별거, 이별"
secure,"안전한, 확실한, 얻다, 확보하다, 안전하게 하다, 위험으로부터 보호하다"
security,"안전, 보호 (수단), 보안, 경비, 안도(감), 안심"
select,"선택하다, 고르다"
selection,"선발, 선택(된 것)"
selective,"선택적인, 까다롭게[꼼꼼히] 선택하는"
