W,M
segregation,"(인종, 성별 등에 의한) 차별, 분리, 분리, 격리"
segregate,"(인종, 성별 등에 따라) 분리[차별]하다, 분리[격리]하다"
enable,"...할 수 있게 하다, 가능하게 하다"
enforce,"(법률 등을) 시행[집행]하다, 강요하다"
enforcement,"(법률 등의) 시행, 집행, 강제"
enhance,"(질, 가치를) 향상하다"
enhancement,향상
enrich,"(질, 가치, 빛깔, 맛 등을) 높이다, 풍부하게 하다, 부유하게 하다"
enlarge,"크게 하다, 확장하다, 확장되다"
entitle,"자격[권리]을 주다, 제목[명칭]을 붙이다"
ensure,"반드시 ...하게 하다, 보장하다"
enclose,"(물건, 장소를) 둘러싸다, 동봉하다"
enclosure,"울타리를 친 장소, 포위, 둘러쌈, 동봉된 것"
encounter,"(문제, 일에) 직면하다, 우연히 만나다, (예상 밖의) 만남"
engage,"참여하다, 관여하다, 종사하다, (주의를) 끌다, 사로잡다, 약속하다, 약혼하다"
engaged,"...에 열중인, 바쁜, 약혼한"
engaging,"관심을 끄는, 매력적인"
engagement,"약속, 약혼, 참여"
embrace,"껴안다, 수락하다, 받아들이다, 포옹, 수락, 받아들임"
perfect,"완전(무결)한, 완벽한, 완전하게 하다, 완성하다"
perfectly,"나무랄 데 없이, 완벽하게, 완전히"
perfection,완벽(함)
permanent,"영구적인, 불변의, 오랫동안 지속되는, 정규(직)의"
permanently,영구적으로
persist,"(어려움, 반대에도 불구하고) 계속 ...하다, 고집하다, (주로 좋지 않은 것이) 지속하다, 존속하다"
persistent,"지속적인, 고집하는, 끈질긴"
persistence,"고집, 영속, 지속성"
persevere,"(끈질기게) 노력하다, 인내하다, 견디다"
perseverance,"끈기, 인내(심)"
persuade,"설득하다, 권해서 ...하게 하다, 믿게 하다, 납득시키다"
persuasion,"설득, 확신, 신념"
persuasive,설득력이 있는
perspective,"관점, 시각, 견해, 원근법"
aboard,"(배, 열차, 항공기 등에) 탑승[승선]하여, (배, 열차, 항공기 등의) 안에서[으로]"
abroad,"외국에, 해외로, (격식) (소문 등이) 널리 퍼져"
alike,"(아주) 비슷한, 서로 같은, 마찬가지로, 같게, 동등하게"
arise,"(문제, 사건 등이) 발생하다, 일어나다, (결과로서) 일어나다, 기인하다, (잠에서) 깨다, 일어나다"
arouse,"(감정을) (불러) 일으키다, (잠에서) 깨우다"
ashamed,"부끄러워하는, 창피한"
amaze,깜짝 놀라게 하다
amazing,"놀라운, 경탄할 만한"
amazement,놀람
afford,...할 여유가 있다
affordable,감당할 수 있는
atom,원자
atomic,"원자의, 원자력의"
contrary,"(...와) 반대의, (정)반대, 반대되는 것"
contrast,"대조, 대비, (대조에 의해 나타나는) 차이, 정반대의 물건[사람], 대조[대비]하다, 대조를 이루다"
controversy,"논쟁, 언쟁, 논란"
controversial,"논란의 여지가 있는, 논쟁의"
counterattack,"반격(하다), 역습(하다)"
counterfeit,"위조의, 가짜의, (화폐, 문서 등을) 위조하다"
counterpart,"(직위, 목적 등이) 대응하는 사람[것], 상대(방)"
withdraw,"(원조, 약속, 지원 등을) 철회[취소]하다, (직장, 조직, 학교 등을) 그만두다, (예금을) 인출하다, (군대 등이) 물러나다, 철수하다"
withdrawal,"(군대의) 철수, 물러남, (원조, 서비스 등의) 철회, 취소, (예금 등의) 인출"
withhold,"(꼭 쥐고) 주지 않다, (지원, 승낙 등을) 유보하다"
withstand,"저항하다, 견디다"
adjust,"맞추다, 조정[조절]하다, 적응[순응]하다"
adjustment,"수정, 조절, 적응, 순응"
accompany,"...와 동행하다, (현상 등이) ...에 수반하여 일어나다, 반주하다"
accustomed,"(...에) 익숙해진, 습관이 된"
accustom,익숙하게 하다
account,"계좌, 보고(서), 설명, 계정, 이유, 원인, 계산서, ...의 이유를 밝히다, ...을 설명하다, ...의 원인이 되다, (...의 비율을) 차지하다"
accountant,회계사
accumulate,"(돈, 재산, 물건 등을) 모으다, 축적하다, 모이다, 축적되다"
accumulation,"축적, 쌓아올림"
appoint,"임명[지정]하다, (시간, 장소를) 정하다"
appointment,"(회의, 예약 등의) 약속, 임명, 지명"
approach,"...에 접근하다[다가가다], 다가오다, (부탁, 교섭 등을 위해) (...에게) 이야기를 꺼내다, (문제 등을) 다루다, 접근법, 해결 방법, 가까워짐, 접근"
await,"기다리다, 대기하다"
abandon,"(사람, 장소 등을) 버리다, 떠나다, (계획, 생각, 신념 등을) 포기하다"
arrogant,"거만한, 오만한"
arrogance,"거만, 오만"
telescope,망원경
telegraph,"전보, 전신, ...에게 전보를 치다, 전보로 알리다, (몸짓, 눈짓 등으로) ...을 넌지시 알리다[표현하다]"
telecommute,(컴퓨터 등의 통신 시설을 이용하여) 재택근무하다
autograph,"사인, 자필 서명, 자필 서명하다"
autobiography,자서전
automobile,자동차(의)
