W,M
unfortunate,"불운한, 불행한, 유감스러운"
unfortunately,불행하게도
unlikely,"...할 것 같지 않은, 가망 없는"
unusual,"보통이 아닌, 흔치 않은, 유별난, 색다른"
unusually,"평소와 다르게, 특이하게, 몹시, 대단히"
unknown,"알려지지 않은, 무명의, 이름이 없는, 미지의 것"
unbearable,"참을 수 없는, 견딜 수 없는"
unlock,"(문, 상자 등 잠긴 것을) 열다"
disagree,"(...와) (의견이) 다르다, (...에) 동의하지 않다, (결과, 수치, 진술 등의) 내용이 일치하지 않다"
disagreement,"의견 차이, 논쟁, (수치, 진술 등의) 불일치"
disagreeable,"불쾌한, 싫은"
disorder,"무질서, 혼란, (심신의) 이상, 장애"
disappear,"(시야에서) 사라지다, 안 보이다, (존재가) 없어지다, 소멸하다"
disappearance,"사라짐, 소멸, 실종"
discount,"할인, 할인하다, 중요하지 않게 생각하다"
discourage,"그만두게 하다, 단념시키다, 낙담시키다, 용기를 잃게 하다"
discouraged,"낙담한, 의기소침한"
dismiss,"(의견, 생각 등을) 묵살[일축]하다, 해고하다, 내쫓다, (모임 등을) 해산시키다"
dismissal,"해고, 퇴학, 해산"
dispose,"(물건, 군대 등을) 배치[배열]하다, (...을) 처분하다, 없애다, (문제 등을) 처리[해결]하다, 경향을 갖게 하다"
disposal,"처리, 처분, 폐기"
disposable,일회용(의)
disposition,"(사람의) 기질, 배치, 배열"
display,"전시[진열]하다, (감정 등을) 보이다, 표현하다, (정보 등을 화면에) 표시하다, 전시, 진열, 보이기, 표현, 디스플레이, 영상 출력 장치"
discard,(불필요한 것을) 버리다
disability,"(신체적, 정신적) 장애, 결함"
differ,"(...와) 다르다, (의견 등이) 일치하지 않다"
difference,"차이(점), 의견의 차이, 불화"
different,"다른, 여러가지의, (각양)각색의"
differentiate,"구분 짓다, 구별하다"
independent,"(국가, 조직이) 독립된, 자주의, 독립심이 강한"
independence,"(...로부터의) 독립, 자립(심)"
independently,"독립하여, 자주적으로"
inevitable,"피할 수 없는, 불가피한"
inevitably,"필연적으로, 반드시"
inexpensive,"저렴한, 비싸지 않은"
illegal,불법의
illegally,불법적으로
immoral,부도덕한
immune,"면역성을 가진, 면제된"
immunity,"면역력, 면제"
irrelevant,"(...와) 관계가 없는, 상관없는"
irrational,"비이성적인, 이성을 잃은"
superior,"우수한, 보다 나은, (...보다) 상위[상급]의, 상급자"
superiority,"우수(성), 탁월, 우월"
superb,"뛰어난, 멋진, 최고의"
superficial,"표면의, 외관상, 피상적인"
surface,"표면, 외관, (수면으로) 올라오다, 드러나다, 나타나다"
sovereign,"주권이 있는, 자주의, 독립의, 최고 권력의, 주권자, 군주"
sovereignty,주권
uphold,"(법, 제도, 판결 등을) 지지하다, 옹호하다, 유지하다"
upright,"똑바른, 수직으로 세운, (도덕적으로) 올바른, 정직한, 똑바로, 수직으로"
upset,"기분이 상한, 화난, (위장 등이) 탈이 난, (마음을) 상하게 하다, 뒤집어엎다"
upside,"위쪽, 윗면"
submarine,"잠수함, 해저의"
suffer,"(고통 등을) 겪다, ...로 괴로워하다, (병 등을) 앓다"
suffering,"(육체적, 정신적) 고통"
suggest,"제안[제의]하다, 암시[시사]하다"
suggestion,"제안, 암시, 시사"
support,"(의견, 정책, 사람 등을) 지지[옹호]하다, (금전적으로) 부양하다, 받치다, 지지, 지원, 부양, 받침"
suppress,"진압하다, 억제하다, (감정 등을) 참다, 억누르다"
suppression,"진압, 억제"
antibiotic,"항생제, 항생 물질"
antibody,항체
Antarctic,"남극의, 남극 (지방)"
anticipate,"예상하다, 예측하다, 기대하다"
anticipation,"예상, 기대"
antique,"고대의, 옛날의, 골동품"
advantage,"유리한 조건[입장], 이점, 장점"
advantageous,"유리한, 이익이 되는"
ancestor,"조상, 선조"
ancestral,"조상의, 대대로 내려오는"
ancient,"고대의, 옛날의"
advance,"전진, 진보, 전진하다, 진보하다, 진보시키다"
advanced,"진보한, 매우 앞선, 고급[상급]의, 고등의"
advancement,"진보, 발전, 승진"
