W,M
international,"국제적인, 국가 간의"
interpret,"통역하다, (...의 의미로) 이해[해석]하다, 파악하다, (자기 해석에 따라) 연주[연기]하다"
interpretation,"해석, 설명"
interpreter,통역관
interval,"(장소, 시간의) 간격, (연극‧공연 등의) 중간 휴식 시간"
interfere,"간섭하다, 방해하다"
interference,"간섭, 방해"
interaction,"상호 작용, 상호 영향"
interact,"상호 작용하다, 서로 영향을 주다"
interactive,"상호 작용하는, 쌍방향의"
transfer,"이동시키다, 옮기다, 전달하다, 전근[전학]하다, 갈아타다, (파일, 데이터 등을) 전송하다, 이동, 전달, 전근, 전학, 갈아타기, (파일) 전송"
transform,변형[변화]시키다
transformation,"변형, 변화"
transformative,"변화시키는, 변화시키는 힘이 있는"
transplant,"옮겨 심다, (기관, 조직 등을) 이식하다, 이식(수술)"
transplantation,이식
expand,"커지다, 팽창하다, 넓히다, 확대[팽창]시키다, (사업, 조직 등을) 확장[확대]하다"
expansion,"팽창, 확장"
explore,"탐험하다, 탐구하다, 연구하다"
explorer,"탐험가, 답사자"
exploration,"탐험, 답사"
explain,"설명하다, 해명하다"
explanation,"설명, 해명"
explicit,"분명한, 명백한, 뚜렷한, 노골적인, 숨김없는"
explicitly,명백하게
exhaust,"지치게 하다, 다 써 버리다, 고갈시키다, (자동차 등의) 배기가스"
exhausted,"기진맥진한, 다 써 버린, 소모된, 고갈된"
exhaustion,"기진맥진, 소모, 고갈"
expose,"(햇볕, 위험, 특정 환경 등에) 노출시키다, (가려진 것을) 드러내다, 폭로하다"
exposure,"노출, 폭로, 탄로"
exposition,"설명, 해설, 전시[박람]회"
examine,"조사[검사]하다, 시험하다, 진찰하다"
examination,"조사, 검사, 시험"
exaggerate,"과장하다, 과장해서 말하다"
exaggeration,과장
exchange,"교환, 주고받기, 환전, 교환하다"
escape,"도망치다, 탈출하다, 벗어나다, 도망, 탈출, 도피"
evaporate,"증발하다, 증발시키다"
evaporation,"증발, 발산"
dialogue(dialog),"대화, 문답, 회화"
dialect,"방언, 사투리"
diameter,"지름, 직경"
mistake,"실수, 잘못, 오해하다, 잘못 판단하다"
mistakenly,"실수로, 틀리게"
misleading,"오도하는, 오해의 소지가 있는"
mislead,"잘못 인도하다, 속이다, 오해하게 하다"
misfortune,"불운, 불행, 역경"
uneasy,"불안한, 걱정스러운, 편치 않은, 불편한"
ease,"편안함, 안락함, 쉬움, 용이함, 편하게 하다, 완화하다"
unfair,"불공평한, 부당한"
unfairness,"불공평함, 편파적임"
