W,M
offensive,"화나게 하는, 불쾌한, 공격(용)의, 공격적인"
offender,범죄자
mortal,"죽을 운명의, (병, 상처가) 치명적인, 인간"
mortality,"사망(률), 죽을 운명"
mortgage,"저당(권), 저당 잡히기, (주택, 토지 매입을 위한) 융자(금), (토지, 재산 등을) 저당 잡히다"
murder,"살인(죄), 살해, 죽이다, 살인하다"
murderer,살인자
tremble,"(공포, 분노 등으로) 떨다, 떨리다, (나뭇잎, 건물 등이) 흔들리다, 진동하다"
tremendous,"엄청난, 막대한, 멋진, 대단한"
tremendously,엄청나게
migrate,"(사람이) 이주하다, (동물, 새 등이 계절에 따라) 이동하다"
migration,"(사람, 동물 등의) 이주, 이동"
migratory,이주[이동]하는
immigrate,"(다른 나라에서) 이민 오다, 이주해 오다"
immigration,"(다른 나라로부터의) 이민, 이주"
immigrant,"(다른 나라로부터의) 이민자, 이주자"
emigrate,"(다른 나라로) 이민 가다, 이주하다"
emigration,"(다른 나라로의) 이민, 이주"
emigrant,"(다른 나라로의) 이민자, 이주자"
dispute,"논쟁하다, 반박하다, 반론을 제기하다, 논쟁, 분쟁, 언쟁"
reputation,"평판, 명성, 명망"
