W,M
introduction,"소개, 도입, (책의) 서론, (학문의) 개론[입문]서"
pose,"(이의, 문제, 위험 등을) 제기하다, 야기하다, 포즈[자세]를 취하다, 포즈, 자세"
position,"위치, 자리, 자세, 입장, 처지, 일자리, 직위, ...에 두다, 배치하다, 자리를 잡다"
positive,"긍정적인, 적극적인, 승낙의, 찬성의, 분명한, 확실한, 확신하는, 양수의, 양성의, 양전극의"
positively,"긍정적으로, 명확하게"
post,"우편(물), 직책, (근무) 직, 기둥, (인터넷의) 게시글, 포스트, 신문의 이름, 우편물을 발송하다, (근무지에) 배치하다, (게시판, 웹사이트 등에) 게시하다, 올리다"
poster,"포스터, 벽보, 게시자"
deposit,"계약금, 예약금, 보증금, (은행) 예금(액), 퇴적물, 침전물, (물건 등을) 놓다, ...에 두다, 예금하다, 퇴적시키다, 침전시키다"
impose,"(의무, 세금, 벌 등을) 부과하다, 강요하다"
imposition,"부과(물), 과세"
purpose,"목적, 의도, 의향"
oppose,"...에 반대하다, ...에 저항[대항]하다, 대립하다"
opposite,"정반대의, 반대쪽의, 마주 보는, 반대의 사람[물건]"
opposition,"반대, 상대방, 반대측, 야당"
suppose,"추측하다, 생각하다, 가정하다, 상상하다"
supposedly,"추측건대, 아마도"
postpone,"연기하다, 뒤로 미루다"
component,"구성 요소, 성분, 구성하는"
opponent,"(경쟁, 논쟁 등의) 상대, 적, 반대자"
compound,"혼합하다, 합성하다, (좋지 않은 일을) 악화시키다, 혼합물, 합성물, 화합물, 합성어, 합성의"
habit,"(몸에 밴) 습관, 버릇"
habitual,"습관적인, 상습적인"
habitually,"습관적으로, 늘, 으레"
inhabit,"(...에) 살다, 서식하다, 거주하다"
inhabitant,"주민, 거주자, 서식 동물"
habitat,"(동식물의) 서식지, 번식지, 거주지"
habitable,"살 수 있는, 거주할 수 있는"
exhibit,"전시하다, 진열하다, 보이다, 드러내다, 전시(품), 진열(품)"
exhibition,"전시(회), 전람회"
prohibit,"(법, 규칙 등으로) 금지하다, 제지하다"
prohibition,금지(령)
inhibit,"억제하다, 못하게 막다"
inhibition,"억제, 금지"
behave,"(어떤 방식으로) 행동하다, 예의 바르게 행동하다"
behavior(behaviour),"행동, 행실, 행동 방식"
behavioral,"행동의, 행동에 관한"
misbehave,"버릇 없이 굴다, 나쁜 짓을 하다"
value,"가치, 유용성, 중요성, 높이 평가하다, 중요시하다, (금액으로) 평가하다"
valuable,"가치 있는, 값비싼, 소중한, 귀중한, 귀중품"
invaluable,(가치를 매길 수 없을 정도로) 귀중한
evaluate,"(가치, 수량 등을) 평가하다, 감정하다, 견적을 내다"
evaluation,"평가, 감정, 견적"
valid,"(표, 문서, 계약 등이) 유효한, 타당한, 논리적인"
validity,타당성
validate,"입증하다, 유효하게 하다"
available,"이용할 수 있는, 쓸모 있는, 입수할 수 있는, (사람을 만날) 시간이 있는"
availability,"유효성, 유용성"
prevail,"(생각, 관습, 현상 등이) 만연하다, 유행하다, 우세하다, 이기다"
prevalent,"유행하는, 널리 퍼진, 만연한"
prevalence,"널리 퍼짐, 유행, 보급"
