W,M
create,"창조하다, 창작하다, 만들어내다"
creation,"창조(물), 창작(물)"
creative,"창조적인, 창의적인, 독창적인"
creature,"(생명이 있는) 생물, 동물, 창조물, (상상의) 괴물"
creator,"창조[창작]자, 조물주, 신"
recreate,"다시 만들어내다, 재현하다, 기분을 전환시키다"
recreation,"재창조, 재현, 기분 전환 (활동), 레크리에이션"
increase,"(수량, 정도 등이[을]) 증가하다, 늘다, 증가시키다, 늘리다, 증가"
increasingly,"점점 더, 더욱 더"
decrease,"(수량, 정도 등이[을]) 감소하다, 줄다, 감소시키다, 줄이다, 감소, 축소"
concrete,"구체적인, 확실한, 콘크리트로 만든, 콘크리트"
recruit,"(조직, 군대 등에 사람을) 채용하다, 모집하다, 신병, 신입 사원"
recruitment,"신규 모집[채용], 신병 모집"
advent,"도래, 출현, 등장"
adventure,"모험(심), 색다른 경험"
adventurous,"모험을 좋아하는, 대담한, 모험적인"
venture,"(위험이 따르는) 사업, 벤처 사업, 위험을 무릅쓰고 ...하다, 과감히 ...하다"
convention,"집회, 모임, 협정, 협약, 관습, 인습"
conventional,"관습적인, 전통적인, 틀에 박힌, 상투적인"
event,"(중요한) 사건, (공연 등의) 행사, 이벤트, (경기) 종목"
eventual,"최종적인, 최후의"
eventually,"결국, 마침내"
invent,"발명하다, 고안하다, (이야기, 변명 등을) 조작하다, 꾸며내다"
invention,"발명(품), 꾸며낸 이야기"
inventor,발명가
inventive,"창의력이 있는, 독창적인"
prevent,"막다, 예방하다, 방해하다"
prevention,"예방, 저지"
preventive,"예방의, 방지하는"
intervention,"사이에 듦, 조정, 중재, 개입, 간섭"
intervene,"(언쟁, 싸움 등을) 중재하다, 개입하다, 끼어들다, 방해하다, (사건 등이) 사이에 일어나다"
avenue,"대로, 길, (거리 이름으로) ...가(街), (성취를 위한) 수단, 방법"
convenient,"편리한, 사용하기 쉬운, (장소가) 가까운"
convenience,"편리(한 물건), 편의"
souvenir,"기념품, 기념 선물"
medium,"(전달 등의) 매체, 수단, 매개(물), 중간의, (고기 따위가) 중간 정도로 구워진"
medieval(mediaeval),"중세의, 중세풍의"
mediate,"조정하다, 중재하다, 화해시키다"
mediation,"조정, 중재, 매개"
mediator,"조정인, 중재인, 매개자"
immediate,"즉시의, 즉각의, 시급한, 당면한"
immediately,"즉시, 곧"
intermediate,"중간의, 중간 단계의, 중급의, (학생, 선수 등) 중급자"
mean,"의미하다, 의도하다, 비열한, 못된, 심술궂은, 인색한, (신분이) 천한, 초라한, 평균의"
meaning,"의미, 뜻"
means,"수단, 방법"
meanwhile,"그동안에, 그 사이에, 한편으로는"
midst,"중앙, 한가운데"
vision,"시력, 시야, 통찰력, 직감력, 미래상, 비전, 환영, 환상"
visible,"눈에 보이는, 분명한, 명백한, 눈에 띄는, 두드러진"
visual,"시각[시력]의, 눈으로 보는"
revise,"(의견, 계획 등을) 변경하다, 고치다, (책, 내용 등을) 수정[교정/개정]하다, 복습하다"
revision,"수정 (사항), 교정, 개정, 복습"
advise,"조언하다, 충고하다, 권하다"
advice,"조언, 충고"
supervise,"(일, 사람 등을) 감독하다, 관리하다, 지휘하다"
supervisor,"감독관, 관리자"
evidence,증거
evident,"분명한, 명백한"
provide,"공급[제공]하다, 준비[대비]하다, 부양하다, 규정하다"
provision,"공급, 제공, 준비, 대비, 식량, 규정, 조항(법)"
provided,만약 ...이면
view,"관점, 견해, 시야, 경관, 경치, ...라고 생각하다, 간주하다, 보다"
viewer,"시청자, 보는 사람"
viewpoint,"관점, 견지, 입장"
interview,"(직장, 학교 등에서) 면접(하다[보다), 회견[인터뷰]하다"
interviewer,"면접관, 인터뷰 진행자"
interviewee,면접[인터뷰] 대상자
review,"재검토, 재조사, 비평, 논평, 리뷰, 복습, 재검토[재조사]하다, 비평[논평]하다, 복습하다"
envy,"선망, 질투, 부러워하다, 질투하다"
envious,"부러워하는, 질투하는"
survey,"(질문 등을 통한) 조사, (토지 등의) 측량, 조사하다, 측량하다"
acquire,"획득하다, 얻다, (지식, 기술 등을) 배우다, 얻다, 습득하다"
acquisition,"획득(물), 취득(물)"
require,"필요로 하다, (법, 규칙 등이) 요구하다, 규정하다"
requirement,"필요 조건, 요건, 자격, 필요한 것"
inquire(enquire),"묻다, 질문하다, 조사하다"
inquiry(enquiry),"문의, 질문, 조사"
conquer,"정복하다, (적 등을) 이기다, (어려움 등을) 극복하다"
conquest,"정복, 극복, 획득, 점령지"
request,"요청(하다), 요구(하다)"
exquisite,"매우 아름다운, 정교한, (느낌이) 강렬한, (감각이) 예리한"
conduct,"(조사, 연구 등을) 하다, 실시하다, 인도하다, 안내하다, 이끌다, 지휘하다, 처신하다, 처신, 행동, 수행, 실시"
conductor,"지휘자, (열차, 버스 등의) 차장"
deduct,"빼다, 공제하다"
deduction,"공제(액), 추론, 연역(법)"
educate,"교육하다, 가르치다"
education,교육
educational,"교육의, 교육적인"
educator,"교육자, 교사"
deduce,"추론하다, 연역하다"
induce,"설득하여 ...하게 하다, 유도하다, 야기하다, 일으키다, 귀납하다"
induction,"도입, 유발, 귀납(법)"
inducement,"권유, 유도[유인](하는 것)"
reduce,"감소시키다, 줄이다, 낮추다"
reduction,"감소, 축소, 삭감(액)"
introduce,"(...에게 ~을) 소개하다, (제도, 물건 등을) 도입하다, 들여오다"
