W,M
surmount,"v. 극복하다"
surface,"n. 표면, 수면"
surpass,"v. ~보다 낫다, ~을 능가하다"
superstition,"n. 미신"
superficial,"a. 표면상의, 피상적인"
surplus,"n. 과잉, 흑자, 과잉의"
superior,"a. 뛰어난, ~보다 나은"
supreme,"a. 최고의, 최상의"
supernatural,"a. 초자연적인"
underline,"v. 밑줄을 긋다, 강조하다"
undercover,"a. 비밀의, 첩보활동의"
undertake,"v. 떠맡다, 착수하다"
undergo,"v. (안 좋은 일 등을) 겪다, (수술 등을) 받다"
underpin,"v. 뒷받침하다, 버팀목을 대다"
undergraduate,"n. 대학생"
underway,"a. (계획 따위가) 진행 중인, 항해 중인"
underlie,"v. ~의 밑에 있다, ~의 기초가 되다"
antique,"n. 골동품, 고풍의"
antedate,"v. ~보다 먼저 일어나다, 앞의 날짜로 앞당기다"
anterior,"a. 앞의, 이전의"
micro,"n. 아주 작은 것; 극소의"
microscope,"n. 현미경"
microwave,"n. 1. 극초단파 2. 전자레인지"
micro-organism,"n. 미생물"
microphone,"n. 마이크"
microeconomics,"n. 미시경제학"
macroeconomics,"n. 거시 경제학"
substance,"n. 1. 물질 2. 본질, 실체"
submerge,"v. 잠수하다, 물에 담그다, 물에 잠기다,"
substitution,"n. 대체, 대용"
marine,"a. 바다의, 해양의, 해병대"
submarine,"n. 잠수함, 해저의"
subside,"v. 가라앉다, 진정되다"
suburban,"a. 교외의"
subconscious,"a. 잠재의식의, 잠재의식"
uniform,"n. 1. 유니폼, 제복 2. 한결같은, 동일한"
reunion,"n. 재회, 모임, 동창회"
unify,"v. 통합하다, 통일하다"
union,"n. 연합, 조합, 동맹"
unite,"v. 연합하다, 통합시키다"
evade,"v. 피하다, 회피하다"
explode,"v. 폭발하다, 터지다"
enormous,"a. 거대한, 엄청난"
extent,"n. 범위, 정도, 넓이"
exposure,"n. 드러냄, 폭로"
evaluate,"v. 평가하다"
upward,"n. 위로, 위로 향한"
downward,"ad. 아래쪽으로, 아래로 향한"
backward,"ad. 뒤로, 뒤쪽으로"
toward,"prep. ∼쪽으로, ∼을 향하여"
inward,"a. 마음속의, 안으로"
outward,"a. 밖으로 향하는, 바깥쪽으로"
forward,"ad. 앞으로, 전방으로"
onward,"ad. 앞으로, 앞으로 계속, 향후의"
specific,"a. 구체적인, 명확한, 특정한"
inspect,"v. 점검하다, 조사하다"
perspective,"n. 1. 시각, 관점 2. 원근법"
despise,"v. 경멸하다"
aspect,"n. 측면, 면, 양상"
introspective,"a. 내성적인, 자기 성찰의"
retrospect,"n. 회고; 회고하다"
prospect,"n. 가망, 전망"
spectacle,"n. 광경, 구경거리"
spectacles,"n. 안경"
conclude,"v. 끝내다, 결론을 내리다"
include,"v. 포함하다, 포함시키다"
exclude,"v. 제외시키다, 배제하다"
disclose,"v. 드러내다, 폭로하다"
enclose,"v. 1. 에워싸다 2. 동봉하다"
astronaut,"n. 우주 비행사"
astronomy,"n. 천문학"
astrology,"n. 점성술, 점성학"
influenza,"n. 독감"
fluent,"a. 유창한"
fluctuate,"v. 오르내리다, 변동하다"
influence,"n. 영향, 영향을 미치다"
fluid,"n. 1. 액체, 유동체 2. 유동적인"
biology,"n. 생물학"
biochemistry,"n. 생화학"
antibiotic,"n. 항생제, 항생물질"
