W,M
exhibit,"v. 전시하다, 보이다"
extreme,"a. 극도의, 지나친"
section,"n. (나누어진) 한 부분, 부문"
remark,"n. 말, 논평, 말하다, 논평하다"
referee,"n. 심판원; 심판하다"
asset,"n. 재산, 자산"
selection,"n. 선택, 선발"
mandatory,"a. 의무적인, 강제적인"
diminish,"v. 줄어들다, 감소하다"
minute,"n. 1. 분 2. 미세한, 아주 작은"
sigh,"v. 한숨쉬다; 한숨"
weird,"a. 신비스러운, 기묘한, 이상한"
inquire,"v. 묻다, 질문하다"
estate,"n. 재산, 부동산"
estimation,"n. 평가, 판단"
entry,"n. 1. 입장 2. 참가 3. 참가작, 출품작"
strategy,"n. 전술, 전략"
surrender,"v. 항복하다, 포기하다; 항복, 포기"
eliminate,"v. 제거하다"
pile,"v. 쌓다, 쌓이다, 쌓아올린 더미"
peril,"n. 위험"
constrain,"v. 강제하다, 제약하다"
diagram,"n. 도표, 도형"
weep,"v. 울다, 눈물을 흘리다"
strip,"v. (옷, 껍질 등을) 벗기다, 뜯어내다"
textile,"n. 직물, 섬유"
yawn,"v. 하품하다"
flexible,"a. 구부리기 쉬운, 융통성 있는"
geology,"n. 지질학"
modesty,"n. 겸손, 수수함, 평범함"
timely,"a. 시기적절한"
nowadays,"ad. 오늘날, 요즘"
fame,"n. 명성"
closely,"ad. 1. 바싹, 가까이 2. 면밀히, 주의 깊게"
cause,"n. 원인, 이유; 초래하다, …로 하여금 ~하게 하다"
habitual,"a. 습관적인, 상습적인"
finance,"n. 재정, 자금"
festive,"a. 축제의, 즐거운"
lessen,"v. 줄이다, 줄다"
liven,"v. 활기를 띠게 하다"
lengthen,"v. 길어지다, 길게 하다"
fishery,"n. 어업, 수산업, 어장"
fruitless,"a. 결실 없는, 무익한"
helpless,"a. 무력한, 감당할 수 없는"
groundless,"a. 근거 없는, 사실 무근의"
selfless,"a. 사심 없는, 이타적인"
mindless,"a. 염두에 두지 않는. 아무 생각이 없는"
mindful,"a. ~을 염두에 두는, 마음에 두는"
zoology,"n. 동물학"
psychology,"n. 심리학"
sociology,"n. 사회학"
room,"n. 1. 방 2. 공간, 자리 3. 여지, 기회"
standpoint,"n. 관점, 견해"
weigh,"v. 무게가 나가다, 무게를 재다, 저울질하다"
nationwide,"a. 전국적인"
native,"a. 출생지의, 토착의"
heartfelt,"a. 진심에서 우러난"
bleed,"v. 피를 흘리다"
paycheck,"n. 급료(지불 수표)"
motivate,"v. 동기를 부여하다"
book,"n. 1. 책 2. 예약하다"
livelihood,"n. 살림, 생계"
likewise,"ad. 마찬가지로"
gigantic,"a. 거인 같은, 거대한"
seemingly,"ad. 외견상으로, 겉보기에는"
selfish,"a. 이기적인"
practicable,"a. 실행 가능한"
aroma,"n. 향기"
deadly,"a. 1. 치명적인 2. 몹시, 대단히"
evergreen,"n. 상록수"
excel,"v. 능가하다, 뛰어나다"
widespread,"a. 넓게 펼쳐진, 광범위한"
generalize,"v. 일반화하다"
work,"n. 1. 일, 일하다 2. 연구하다, 공부하다 3. 작동하다 4. 효과가 있다 5. 작품"
statesman,"n. 정치가"
common sense,"n. 상식"
imperial,"a. 황제의, 제국의"
specialize,"v. 전문으로 하다, 전공하다"
triple,"n. 3배; 3배로 하다; 3중의"
worthwhile,"a. 가치 있는, 보람 있는"
beep,"v. 삐 소리를 내다; 삐 하는 소리"
breathtaking,"a. 숨이 멎을 정도의, 깜짝 놀랄 만한"
intellect,"n. 지성, 지능, 지식인"
simplify,"v. 단순화하다"
thereafter,"ad. 그 후, 그 이래"
partial,"a. 1. 부분적인 2. 편파적인"
ideology,"n. 이념, 이데올로기"
entrant,"n. 들어오는 사람, 신입 회원, 참가자"
alike,"a. 비슷한, 똑같이"
wastebasket,"n. 휴지통"
costly,"a. 값이 비싼, 희생이 큰"
namely,"ad. 즉, 다시 말하면"
promising,"a. 유망한, 좋을 것 같은"
beloved,"a. 사랑하는, 소중한"
kneel,"v. 무릎을 꿇다"
nursery,"a. 유아원의, 유치원의"
