W,M
splash,"v. (물, 흙탕 등을) 튀기다, 첨벙거리다"
workout,"n. 운동"
vogue,"n. 유행"
anatomy,"n. 해부, 분석, 해부학, (해부학적) 구조"
dusky,"a. 어둑어둑한"
devastate,"v. 엄청난 충격을 주다, 완전히 파괴하다"
fuss,"n. 소란, 야단법석"
furnish,"v. 1. 제공하다, 주다 2. (필수품․가구 등을) 비치하다"
petition,"n. 탄원, 탄원서"
analogy,"n. 유사, 유추, 비유"
mortal,"a. 죽어야 할 운명의, 치명적인"
peer,"n. 1. 동료 2. 응시하다"
dreary,"a. 1. 음울한 2. 따분한"
unanimous,"a. 만장일치의"
respective,"a. 제각각의, 각자의"
eloquent,"a. 웅변의, 달변인"
testimony,"n. 증거, 증언"
kin,"n. 친족, 친척"
sage,"n. 현인, 현명한"
sagacious,"a. 현명한, 영리한, 슬기로운"
fling,"v. 내던지다"
conceal,"v. 숨기다, 감추다"
dissolve,"v. 녹이다, 용해되다"
polish,"v. 닦다, 윤내다"
render,"v. 3. 표현하다"
render,"v. 1. …을 ~하게 하다 2. 주다, 제공하다"
dormitory,"n. 기숙사"
sidestep,"v. 피하다, 회피하다"
terminal,"a. 1. 끝의, 종말의 2. 종점, 터미널"
exterminate,"v. 근절하다, 박멸하다"
persevere,"v. 인내하다"
crane,"n. 1. 학, 왜가리 2. 크레인, 기중기"
pledge,"n. 맹세, 맹세하다"
margin,"n. 1. (점수, 득표) 차이 2. 여유, 여백 3. 판매 수익, 이문"
tenant,"n. 세입자, 임차인"
spank,"v. (체벌로 엉덩이를) 찰싹 때리다"
keen,"a. 1. 날카로운, 예리한 2. ~을 열망하는"
archaeology,"n. 고고학"
thereby,"ad. 그것에 의하여, 그것 때문에"
squeeze,"v. 꽉 쥐다, 쥐어 짜내다"
fortress,"n. 요새"
browse,"v. (가게 안의 물건을) 둘러보다, (책을) 여기저기 훑어보다"
grip,"v. 1. 꽉 잡다; 꽉 잡음, 손잡이 2. 파악, 이해"
sophisticated,"a. 1. 세련된, 교양 있는 2. 정교한, 복잡한"
precipitation,"n. 강수, 강수량"
duration,"n. 지속, 지속 기간"
circulate,"v. 돌다, 순환하다, 유포하다"
appliance,"n. 가전제품, 전기 기구"
authentic,"a. 진짜의, 진품인"
shortcoming,"n. 단점, 결함"
lodge,"n. 오두막, 숙소"
bid,"n. 1. 입찰, 입찰가, 입찰하다 2. 명령하다"
boost,"v. 증가시키다, 북돋우다; 상승, 부양책"
joint,"a. 1. 공동의 2. 관절, 연결 부위"
commute,"n. 통근, 통근하다"
cosmos,"n. 1. 우주 2. 코스모스"
propagate,"v. 1. 선전하다, 전파하다 2. 번식시키다"
hospitality,"n. 환대, 후한 대접"
mighty,"a. 강력한, 힘센"
almighty,"a. 전능한"
alley,"a. 골목, 오솔길"
footwear,"n. (신발․양말 등과 같이) 신는 것"
slam,"v. (문 등을) 쾅 닫다, 털썩 내려놓다"
damp,"a. 축축한, 습기 찬; 습기"
channel,"n. 1. 수로, 해협 2. (방송) 채널"
terrain,"n. 지역, 지형"
herd,"n. (가축 등의) 떼, 무리"
obsession,"n. 강박관념, 집착"
bundle,"n. 묶음, 다발"
pitch,"v. 1. 던지다 2. 음의 높낮이"
savage,"a. 야만적인, 사나운"
Easter,"n. 부활절"
paradoxical,"a. 모순된, 역설적인"
tremble,"v. 떨다, 떨림"
accommodate,"v. (살거나 지낼) 공간을 제공하다, 수용하다"
array,"v. 배열하다, 배치하다, 배열, 정렬"
abundant,"a. 풍부한"
align,"v. 일렬정돈 하다, 정렬하다"
charter,"n. 헌장, 선언서"
charter,"n. (버스․비행기 등의) 전세"
martial,"a. 전쟁의, 군대의"
pinch,"v. 꼭 집다, 꽉 죄다, 꼬집다"
ascend,"v. 오르다, 상승하다"
pistol,"n. 권총"
strain,"n. 긴장, 큰 부담, 긴장시키다"
dual,"a. 둘의, 이중의"
tuition,"n. 수업, 수업료"
dispense,"v. 나누어주다, 제공하다"
dispense,"v. (~ with) ~없이 지내다, 없애다, 생략하다"
indispensable,"a. 없어서는 안 되는, 절대 필요한"
